Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20200928yuanch_Connie_TCPA_60minDIA_b1-8.mzML
P10632	CP2C8_HUMAN	CYP2C8	Cytochrome P450 2C8	7.80654e+06
P10635	CP2D6_HUMAN	CYP2D6	Cytochrome P450 2D6	2.50735e+07
P10636	TAU_HUMAN	MAPT	Microtubule-associated protein tau	1.438e+07
P10643	CO7_HUMAN	C7	Complement component C7	2.06509e+07
P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	3.68912e+07
P10645	CMGA_HUMAN	CHGA	Chromogranin-A	2.75806e+07
P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	1.38557e+08
P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	3.53687e+08
P10909	CLUS_HUMAN	CLU	Clusterin	2.97026e+08
P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	3.99139e+09
P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	1.68872e+08
P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	3.80443e+07
P11137	MTAP2_HUMAN	MAP2	Microtubule-associated protein 2	6.39766e+06
P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	1.01974e+09
P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	9.8453e+06
P11171	EPB41_HUMAN	EPB41	Protein 4.1	4.6353e+06
P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	1.57405e+07
P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1.36668e+08
P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	3.9037e+07
P11215	ITAM_HUMAN	ITGAM	Integrin alpha-M	4.51284e+06
P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	7.34385e+07
P11217	PYGM_HUMAN	PYGM	Glycogen phosphorylase, muscle form	1.592e+06
P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	5.34184e+07
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	7.93169e+06
P11274	BCR_HUMAN	BCR	Breakpoint cluster region protein	5.04217e+06
P11277	SPTB1_HUMAN	SPTB	Spectrin beta chain, erythrocytic	1.15978e+07
P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	1.15966e+08
P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	1.18311e+08
P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	1.73962e+07
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	3.93733e+07
P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	1.25708e+07
P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	7.87488e+07
P11509	CP2A6_HUMAN	CYP2A6	Cytochrome P450 2A6	1.09612e+07
P11532	DMD_HUMAN	DMD	Dystrophin	2.57452e+07
P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	8.0217e+08
P11678	PERE_HUMAN	EPX	Eosinophil peroxidase	3.43313e+06
P11712	CP2C9_HUMAN	CYP2C9	Cytochrome P450 2C9	5.20969e+06
P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	9.80918e+06
P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	6.14663e+07
P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2	5.14769e+07
P11940	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	2.18279e+08
P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	2.54029e+07
P12036	NFH_HUMAN	NEFH	Neurofilament heavy polypeptide	1.30377e+07
P12074	CX6A1_HUMAN	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial	1.17786e+07
P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	1.73831e+08
P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	8.57715e+08
P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	7.14911e+08
P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	9.02478e+08
P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	2.10914e+07
P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	2.77303e+07
P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	7.69248e+07
P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	1.04007e+08
P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	3.13047e+08
P12429	ANXA3_HUMAN	ANXA3	Annexin A3	7.97849e+07
P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial	1.76161e+07
P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	9.89742e+07
P12724	ECP_HUMAN	RNASE3	Eosinophil cationic protein	7.95281e+06
P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	3.00213e+08
P12821	ACE_HUMAN	ACE	Angiotensin-converting enzyme	1.71663e+07
P12830	CADH1_HUMAN	CDH1	Cadherin-1	8.30693e+07
P12931	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	3.3964e+07
P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	4.92026e+07
P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	1.02212e+08
P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	1.18879e+08
P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	1.33442e+08
P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	9.40805e+07
P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	1.6596e+08
P13521	SCG2_HUMAN	SCG2	Secretogranin-2	4.39052e+07
P13569	CFTR_HUMAN	CFTR	Cystic fibrosis transmembrane conductance regulator	1.69949e+07
P13591	NCAM1_HUMAN	NCAM1	Neural cell adhesion molecule 1	6.45514e+06
P13611	CSPG2_HUMAN	VCAN	Versican core protein	1.82552e+08
P13639	EF2_HUMAN	EEF2	Elongation factor 2	6.6076e+08
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	1.73069e+08
P13646	K1C13_HUMAN	KRT13	Keratin, type I cytoskeletal 13	1.01713e+07
P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	7.32981e+08
P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	7.15309e+08
P13671	CO6_HUMAN	C6	Complement component C6	5.57487e+06
P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	7.48937e+06
P13686	PPA5_HUMAN	ACP5	Tartrate-resistant acid phosphatase type 5	4.64145e+06
P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	1.26313e+08
P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	7.27609e+07
P13796	PLSL_HUMAN	LCP1	Plastin-2	1.9112e+08
P13797	PLST_HUMAN	PLS3	Plastin-3	6.39356e+07
P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	4.95557e+07
P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	1.25893e+08
P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	2.58314e+07
P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	9.24368e+07
P13929	ENOB_HUMAN	ENO3	Beta-enolase	1.32272e+07
P13942	COBA2_HUMAN	COL11A2	Collagen alpha-2(XI) chain	2.97323e+08
P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	4.93251e+06
P13987	CD59_HUMAN	CD59	CD59 glycoprotein	6.57657e+06
P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	4.28032e+07
P14091	CATE_HUMAN	CTSE	Cathepsin E	1.27107e+07
P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	1.8917e+08
P14209	CD99_HUMAN	CD99	CD99 antigen	3.14679e+06
P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	2.10289e+08
P14317	HCLS1_HUMAN	HCLS1	Hematopoietic lineage cell-specific protein	2.16054e+08
P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	4.12992e+07
P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	4.24296e+07
P14543	NID1_HUMAN	NID1	Nidogen-1	1.64447e+08
P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	2.56161e+08
P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	5.37256e+08
P14621	ACYP2_HUMAN	ACYP2	Acylphosphatase-2	7.20966e+06
P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	1.6519e+09
P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	5.06238e+06
P14678	RSMB_HUMAN	SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	9.08081e+07
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1.12711e+08
P14780	MMP9_HUMAN	MMP9	Matrix metalloproteinase-9	4.02041e+06
P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	1.01254e+08
P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	9.1255e+07
P14920	OXDA_HUMAN	DAO	D-amino-acid oxidase	3.20142e+06
P14923	PLAK_HUMAN	JUP	Junction plakoglobin	4.40877e+07
P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	2.4159e+07
P15085	CBPA1_HUMAN	CPA1	Carboxypeptidase A1	9.36748e+09
P15086	CBPB1_HUMAN	CPB1	Carboxypeptidase B	9.59149e+09
P15088	CBPA3_HUMAN	CPA3	Mast cell carboxypeptidase A	1.09495e+08
P15090	FABP4_HUMAN	FABP4	Fatty acid-binding protein, adipocyte	1.2107e+08
P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	5.11494e+07
P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	6.60926e+07
P15144	AMPN_HUMAN	ANPEP	Aminopeptidase N	6.16732e+07
P15151	PVR_HUMAN	PVR	Poliovirus receptor	7.517e+06
P15153	RAC2_HUMAN	RAC2	Ras-related C3 botulinum toxin substrate 2	2.08751e+07
P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	2.60292e+07
P15289	ARSA_HUMAN	ARSA	Arylsulfatase A	2.32655e+07
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	1.55608e+06
P15311	EZRI_HUMAN	EZR	Ezrin	1.36399e+08
P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	3.89549e+07
P15502	ELN_HUMAN	ELN	Elastin	1.22708e+08
P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	1.05592e+08
P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	7.80882e+06
P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	3.30451e+07
P15735	PHKG2_HUMAN	PHKG2	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform	581665
P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	1.06893e+06
P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5	4.81722e+08
P15924	DESP_HUMAN	DSP	Desmoplakin	4.94375e+07
P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	1.09921e+07
P15941	MUC1_HUMAN	MUC1	Mucin-1	4.74239e+06
P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial	1.48126e+07
P16070	CD44_HUMAN	CD44	CD44 antigen	9.12602e+07
P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	4.26408e+06
P16144	ITB4_HUMAN	ITGB4	Integrin beta-4	9.60884e+07
P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	2.02168e+08
P16157	ANK1_HUMAN	ANK1	Ankyrin-1	1.0138e+07
P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	9.28076e+07
P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	8.46338e+06
P16233	LIPP_HUMAN	PNLIP	Pancreatic triacylglycerol lipase	8.61583e+09
P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	1.70897e+07
P16284	PECA1_HUMAN	PECAM1	Platelet endothelial cell adhesion molecule	1.36807e+07
P16298	PP2BB_HUMAN	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	5.38458e+06
P16333	NCK1_HUMAN	NCK1	Cytoplasmic protein NCK1	7.10466e+06
P16383	GCFC2_HUMAN	GCFC2	Intron Large complex component GCFC2	1.01065e+09
P16401	H15_HUMAN	H1-5	Histone H1.5	6.36362e+07
P16422	EPCAM_HUMAN	EPCAM	Epithelial cell adhesion molecule	2.08395e+07
P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	4.03623e+07
P16442	BGAT_HUMAN	ABO	Histo-blood group ABO system transferase	9.82485e+06
P16444	DPEP1_HUMAN	DPEP1	Dipeptidase 1	1.02542e+08
P16452	EPB42_HUMAN	EPB42	Protein 4.2	1.83633e+06
P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase	7.08691e+06
P16519	NEC2_HUMAN	PCSK2	Neuroendocrine convertase 2	2.58441e+06
P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	9.01611e+07
P16662	UD2B7_HUMAN	UGT2B7	UDP-glucuronosyltransferase 2B7	4.02071e+07
P16671	CD36_HUMAN	CD36	Platelet glycoprotein 4	5.98385e+06
P16870	CBPE_HUMAN	CPE	Carboxypeptidase E	2.07918e+07
P16885	PLCG2_HUMAN	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	3.51662e+06
P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	2.75446e+07
P16949	STMN1_HUMAN	STMN1	Stathmin	2.05917e+07
P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	1.46783e+08
P17026	ZNF22_HUMAN	ZNF22	Zinc finger protein 22	1.15491e+07
P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase	2.55496e+07
P17066	HSP76_HUMAN	HSPA6	Heat shock 70 kDa protein 6	2.64034e+07
P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	2.26715e+07
P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	8.6067e+06
P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	9.35624e+07
P17252	KPCA_HUMAN	PRKCA	Protein kinase C alpha type	1.85408e+08
P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2	6.45796e+07
P17405	ASM_HUMAN	SMPD1	Sphingomyelin phosphodiesterase	6.32201e+06
P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	3.51978e+07
P17516	AK1C4_HUMAN	AKR1C4	Aldo-keto reductase family 1 member C4	1.33917e+07
P17538	CTRB1_HUMAN	CTRB1	Chymotrypsinogen B	1.28532e+08
P17568	NDUB7_HUMAN	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	2.73296e+06
P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	3.13932e+07
P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	6.07685e+07
P17661	DESM_HUMAN	DES	Desmin	1.29746e+09
P17677	NEUM_HUMAN	GAP43	Neuromodulin	7.34177e+06
P17706	PTN2_HUMAN	PTPN2	Tyrosine-protein phosphatase non-receptor type 2	1.72787e+07
P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	7.69625e+06
P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	7.7231e+07
P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	4.5956e+07
P17931	LEG3_HUMAN	LGALS3	Galectin-3	1.54643e+08
P17948	VGFR1_HUMAN	FLT1	Vascular endothelial growth factor receptor 1	2.62852e+09
P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	5.60476e+07
P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	1.3067e+08
P18031	PTN1_HUMAN	PTPN1	Tyrosine-protein phosphatase non-receptor type 1	1.57383e+07
P18065	IBP2_HUMAN	IGFBP2	Insulin-like growth factor-binding protein 2	4.30363e+07
P18077	RL35A_HUMAN	RPL35A	Large ribosomal subunit protein eL33	6.71962e+08
P18084	ITB5_HUMAN	ITGB5	Integrin beta-5	1.13429e+07
P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	1.47522e+08
P18124	RL7_HUMAN	RPL7	Large ribosomal subunit protein uL30	9.38824e+08
P18206	VINC_HUMAN	VCL	Vinculin	2.19555e+08
P18283	GPX2_HUMAN	GPX2	Glutathione peroxidase 2	4.53742e+06
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein	9.19019e+06
P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha	6.15862e+06
P18583	SON_HUMAN	SON	Protein SON	2.50943e+07
P18615	NELFE_HUMAN	NELFE	Negative elongation factor E	1.15852e+07
P18621	RL17_HUMAN	RPL17	Large ribosomal subunit protein uL22	2.46794e+08
P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	2.08205e+08
P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	1.96131e+07
P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	5.18378e+07
P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	5.66472e+06
P19021	AMD_HUMAN	PAM	Peptidyl-glycine alpha-amidating monooxygenase	7.40418e+06
P19224	UD16_HUMAN	UGT1A6	UDP-glucuronosyltransferase 1-6	9.61819e+07
P19320	VCAM1_HUMAN	VCAM1	Vascular cell adhesion protein 1	2.78913e+07
P19338	NUCL_HUMAN	NCL	Nucleolin	2.53637e+08
P19367	HXK1_HUMAN	HK1	Hexokinase-1	3.57948e+07
P19387	RPB3_HUMAN	POLR2C	DNA-directed RNA polymerase II subunit RPB3	1.0238e+07
P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	8.87839e+06
P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	9.29326e+07
P19440	GGT1_HUMAN	GGT1	Glutathione hydrolase 1 proenzyme	4.56985e+07
P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	5.22676e+07
P19623	SPEE_HUMAN	SRM	Spermidine synthase	9.24941e+07
P19634	SL9A1_HUMAN	SLC9A1	Sodium/hydrogen exchanger 1	4.16192e+06
P19652	A1AG2_HUMAN	ORM2	Alpha-1-acid glycoprotein 2	5.71929e+07
P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	3.21702e+07
P19793	RXRA_HUMAN	RXRA	Retinoic acid receptor RXR-alpha	732108
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	5.88644e+07
P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	1.05665e+08
P19835	CEL_HUMAN	CEL	Bile salt-activated lipase	2.89045e+09
P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit	2.17453e+07
P19961	AMY2B_HUMAN	AMY2B	Alpha-amylase 2B	1.74316e+07
P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	8.07174e+07
P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1	1.79575e+07
P20036	DPA1_HUMAN	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha 1 chain	4.81786e+06
P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	6.55695e+07
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	4.70692e+07
P20142	PEPC_HUMAN	PGC	Gastricsin	3.03647e+06
P20160	CAP7_HUMAN	AZU1	Azurocidin	1.35763e+07
P20231	TRYB2_HUMAN	TPSB2	Tryptase beta-2	2.22904e+08
P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	4.57641e+07
P20292	AL5AP_HUMAN	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein	2.70095e+07
P20336	RAB3A_HUMAN	RAB3A	Ras-related protein Rab-3A	9.31667e+06
P20338	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A	1.61803e+07
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	4.76027e+07
P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	7.42208e+07
P20591	MX1_HUMAN	MX1	Interferon-induced GTP-binding protein Mx1	1.04735e+07
P20592	MX2_HUMAN	MX2	Interferon-induced GTP-binding protein Mx2	7.34985e+06
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	1.26166e+08
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	1.55384e+08
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	1.5915e+08
P20702	ITAX_HUMAN	ITGAX	Integrin alpha-X	1.73506e+06
P20774	MIME_HUMAN	OGN	Mimecan	2.29192e+08
P20810	ICAL_HUMAN	CAST	Calpastatin	1.00651e+08
P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	5.57794e+06
P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	5.68492e+07
P20933	ASPG_HUMAN	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	1.04414e+08
P20936	RASA1_HUMAN	RASA1	Ras GTPase-activating protein 1	3.24944e+06
P20962	PTMS_HUMAN	PTMS	Parathymosin	4.22909e+07
P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	4.47135e+06
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	2.05727e+08
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	6.77039e+07
P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	1.06939e+07
P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	3.70467e+08
P21333	FLNA_HUMAN	FLNA	Filamin-A	1.32637e+09
P21397	AOFA_HUMAN	MAOA	Amine oxidase [flavin-containing] A	1.1044e+08
P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	1.21357e+08
P21549	AGT1_HUMAN	AGXT	Alanine--glyoxylate aminotransferase	1.05527e+07
P21589	5NTD_HUMAN	NT5E	5'-nucleotidase	1.99246e+06
P21695	GPDA_HUMAN	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	5.43662e+07
P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1.61755e+08
P21810	PGS1_HUMAN	BGN	Biglycan	1.98572e+08
P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	5.66181e+07
P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	3.83983e+07
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	1.09344e+08
P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	7.93147e+07
P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	2.12576e+07
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	3.73211e+07
P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	1.50258e+08
P22090	RS4Y1_HUMAN	RPS4Y1	Small ribosomal subunit protein eS4, Y isoform 1	1.17726e+07
P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	3.79357e+07
P22105	TENX_HUMAN	TNXB	Tenascin-X	6.01861e+07
P22234	PUR6_HUMAN	PAICS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	2.59441e+07
P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	7.04654e+07
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	2.27047e+08
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	1.15807e+08
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	1.92852e+09
P22413	ENPP1_HUMAN	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	6.70512e+07
P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	1.22527e+08
P22612	KAPCG_HUMAN	PRKACG	cAMP-dependent protein kinase catalytic subunit gamma	9.19423e+06
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	9.29114e+08
P22670	RFX1_HUMAN	RFX1	MHC class II regulatory factor RFX1	2.17548e+06
P22676	CALB2_HUMAN	CALB2	Calretinin	4.72137e+06
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	3.2692e+06
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	1.58308e+08
P22748	CAH4_HUMAN	CA4	Carbonic anhydrase 4	1.74296e+07
P22760	AAAD_HUMAN	AADAC	Arylacetamide deacetylase	9.73769e+06
P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	1.01662e+07
P22897	MRC1_HUMAN	MRC1	Macrophage mannose receptor 1	7.73454e+06
P23141	EST1_HUMAN	CES1	Liver carboxylesterase 1	7.25006e+07
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	1.06825e+08
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	2.00006e+07
P23219	PGH1_HUMAN	PTGS1	Prostaglandin G/H synthase 1	4.39354e+06
P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	3.0466e+07
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	1.64288e+08
P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	1.51995e+07
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	9.95585e+08
P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	2.81441e+07
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	1.16303e+08
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	7.64381e+08
