Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	1.05964e+08
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	2.70572e+07
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	3.59929e+08
P22455	FGFR4_HUMAN	FGFR4	Fibroblast growth factor receptor 4	802425
P22528	SPR1B_HUMAN	SPRR1B	Cornifin-B	6.05452e+06
P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	1.63298e+08
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	6.02277e+08
P22670	RFX1_HUMAN	RFX1	MHC class II regulatory factor RFX1	1.82997e+06
P22676	CALB2_HUMAN	CALB2	Calretinin	1.33432e+07
P22681	CBL_HUMAN	CBL	E3 ubiquitin-protein ligase CBL	1.59309e+06
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	5.74975e+06
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	4.10442e+07
P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	7.91351e+06
P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	3.42569e+06
P22894	MMP8_HUMAN	MMP8	Neutrophil collagenase	760986
P22897	MRC1_HUMAN	MRC1	Macrophage mannose receptor 1	3.46662e+06
P23083	HV102_HUMAN	IGHV1-2	Immunoglobulin heavy variable 1-2	2.12912e+06
P23141	EST1_HUMAN	CES1	Liver carboxylesterase 1	1.0829e+07
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	1.02162e+08
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	2.32748e+07
P23219	PGH1_HUMAN	PTGS1	Prostaglandin G/H synthase 1	3.36878e+06
P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	3.77015e+07
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	4.4747e+08
P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	1.90164e+07
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	3.13081e+08
P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	2.19163e+07
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	5.53365e+07
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	1.8589e+08
P23443	KS6B1_HUMAN	RPS6KB1	Ribosomal protein S6 kinase beta-1	1.78352e+06
P23458	JAK1_HUMAN	JAK1	Tyrosine-protein kinase JAK1	2.2092e+06
P23469	PTPRE_HUMAN	PTPRE	Receptor-type tyrosine-protein phosphatase epsilon	2.99347e+06
P23470	PTPRG_HUMAN	PTPRG	Receptor-type tyrosine-protein phosphatase gamma	2.53782e+06
P23471	PTPRZ_HUMAN	PTPRZ1	Receptor-type tyrosine-protein phosphatase zeta	3.18504e+06
P23497	SP100_HUMAN	SP100	Nuclear autoantigen Sp-100	1.16579e+07
P23508	CRCM_HUMAN	MCC	Colorectal mutant cancer protein	289471
P23511	NFYA_HUMAN	NFYA	Nuclear transcription factor Y subunit alpha	2.24065e+06
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	1.12363e+08
P23528	COF1_HUMAN	CFL1	Cofilin-1	2.20632e+08
P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	5.6117e+07
P23610	HAP40_HUMAN	F8A1	40-kDa huntingtin-associated protein	2.7987e+06
P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	4.43453e+07
P23743	DGKA_HUMAN	DGKA	Diacylglycerol kinase alpha	7.64666e+06
P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial	4.49192e+06
P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	1.59908e+07
P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	5.95926e+06
P23946	CMA1_HUMAN	CMA1	Chymase	4.67804e+07
P24043	LAMA2_HUMAN	LAMA2	Laminin subunit alpha-2	1.21417e+07
P24158	PRTN3_HUMAN	PRTN3	Myeloblastin	1.12217e+07
P24347	MMP11_HUMAN	MMP11	Stromelysin-3	6.60152e+06
P24468	COT2_HUMAN	NR2F2	COUP transcription factor 2	1.58471e+06
P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	9.97609e+07
P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	5.96431e+07
P24557	THAS_HUMAN	TBXAS1	Thromboxane-A synthase	5.85135e+06
P24593	IBP5_HUMAN	IGFBP5	Insulin-like growth factor-binding protein 5	1.08569e+07
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	3.04036e+07
P24723	KPCL_HUMAN	PRKCH	Protein kinase C eta type	534356
P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	3.29952e+07
P24821	TENA_HUMAN	TNC	Tenascin	8.6539e+07
P24844	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9	1.28164e+08
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	1.04227e+07
P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	5.52872e+06
P25092	GUC2C_HUMAN	GUCY2C	Guanylyl cyclase C	4.47205e+07
P25098	ARBK1_HUMAN	GRK2	Beta-adrenergic receptor kinase 1	7.66741e+06
P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	3.36577e+07
P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	4.95333e+06
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	8.65097e+06
P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	2.06969e+07
P25398	RS12_HUMAN	RPS12	Small ribosomal subunit protein eS12	6.49816e+07
P25440	BRD2_HUMAN	BRD2	Bromodomain-containing protein 2	2.50428e+06
P25445	TNR6_HUMAN	FAS	Tumor necrosis factor receptor superfamily member 6	1.32278e+06
P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	2.52678e+06
P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	8.7789e+07
P25686	DNJB2_HUMAN	DNAJB2	DnaJ homolog subfamily B member 2	3.88723e+06
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	4.0235e+08
P25774	CATS_HUMAN	CTSS	Cathepsin S	1.95433e+07
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	8.54537e+07
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	4.03956e+07
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	5.71149e+07
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	7.54407e+07
P25815	S100P_HUMAN	S100P	Protein S100-P	5.79503e+06
P25940	CO5A3_HUMAN	COL5A3	Collagen alpha-3(V) chain	1.58843e+07
P25963	IKBA_HUMAN	NFKBIA	NF-kappa-B inhibitor alpha	9.92328e+06
P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	1.43761e+07
P26010	ITB7_HUMAN	ITGB7	Integrin beta-7	2.09955e+06
P26022	PTX3_HUMAN	PTX3	Pentraxin-related protein PTX3	710272
P26038	MOES_HUMAN	MSN	Moesin	2.85082e+08
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	2.85117e+07
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	2.12552e+07
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	5.85799e+07
P26373	RL13_HUMAN	RPL13	Large ribosomal subunit protein eL13	2.1975e+08
P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	1.48575e+07
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	1.94603e+08
P26572	MGAT1_HUMAN	MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	1.79046e+07
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	8.88452e+07
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	9.73985e+07
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	6.38132e+07
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	2.64426e+07
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	1.31174e+08
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	4.47253e+07
P27105	STOM_HUMAN	STOM	Stomatin	7.1247e+07
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	1.5231e+06
P27169	PON1_HUMAN	PON1	Serum paraoxonase/arylesterase 1	6.07845e+06
P27216	ANX13_HUMAN	ANXA13	Annexin A13	2.21173e+06
P27338	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	1.30648e+07
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	2.33571e+08
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	1.47391e+07
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3	1.66656e+06
P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3	2.54769e+08
P27487	DPP4_HUMAN	DPP4	Dipeptidyl peptidase 4	3.76774e+06
P27635	RL10_HUMAN	RPL10	Large ribosomal subunit protein uL16	1.02431e+08
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	2.95115e+07
P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	4.94324e+07
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	5.56442e+06
P27708	PYR1_HUMAN	CAD	CAD protein	3.78462e+07
P27797	CALR_HUMAN	CALR	Calreticulin	1.62777e+08
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	5.93373e+07
P27824	CALX_HUMAN	CANX	Calnexin	4.98533e+07
P27986	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	3.48377e+06
P27987	IP3KB_HUMAN	ITPKB	Inositol-trisphosphate 3-kinase B	3.31727e+06
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	3.02999e+07
P28065	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9	6.20409e+07
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	6.89452e+07
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	6.17364e+07
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	7.06466e+07
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	2.36744e+07
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2	2.11811e+07
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	5.40217e+06
P28289	TMOD1_HUMAN	TMOD1	Tropomodulin-1	3.86342e+06
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	8.5645e+06
P28300	LYOX_HUMAN	LOX	Protein-lysine 6-oxidase	2.23806e+06
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	2.75655e+07
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	6.75612e+06
P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1	7.37807e+06
P28370	SMCA1_HUMAN	SMARCA1	Probable global transcription activator SNF2L1	4.0971e+06
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	4.91662e+07
P28676	GRAN_HUMAN	GCA	Grancalcin	7.1769e+07
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	8.5782e+06
P28715	ERCC5_HUMAN	ERCC5	DNA excision repair protein ERCC-5	133431
P28799	GRN_HUMAN	GRN	Progranulin	4.06725e+06
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	6.14022e+07
P28907	CD38_HUMAN	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	5.75424e+06
P29017	CD1C_HUMAN	CD1C	T-cell surface glycoprotein CD1c	169665
P29034	S10A2_HUMAN	S100A2	Protein S100-A2	6.58229e+07
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	2.65709e+06
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	706923
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	1.69868e+07
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	2.1475e+07
P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	5.18074e+06
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	5.01914e+07
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	3.70869e+06
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	4.75348e+06
P29373	RABP2_HUMAN	CRABP2	Cellular retinoic acid-binding protein 2	4.36563e+07
P29401	TKT_HUMAN	TKT	Transketolase	1.52219e+08
P29466	CASP1_HUMAN	CASP1	Caspase-1	1.81061e+07
P29474	NOS3_HUMAN	NOS3	Nitric oxide synthase 3	6.54597e+06
P29508	SPB3_HUMAN	SERPINB3	Serpin B3	1.33659e+08
P29536	LMOD1_HUMAN	LMOD1	Leiomodin-1	9.69015e+06
P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	8.29901e+06
P29590	PML_HUMAN	PML	Protein PML	5.84572e+07
P29597	TYK2_HUMAN	TYK2	Non-receptor tyrosine-protein kinase TYK2	1.59781e+06
P29622	KAIN_HUMAN	SERPINA4	Kallistatin	2.85394e+07
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	1.50978e+08
P29728	OAS2_HUMAN	OAS2	2'-5'-oligoadenylate synthase 2	7.43417e+06
P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	5.80239e+07
P29972	AQP1_HUMAN	AQP1	Aquaporin-1	2.21211e+06
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	1.12379e+07
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	2.48753e+07
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	6.84906e+07
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	6.23932e+07
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	3.84544e+07
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1.19339e+08
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	3.30691e+07
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	5.73474e+06
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	8.79223e+07
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	6.12492e+07
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	1.9652e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	3.56739e+07
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	2.05853e+07
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	2.72779e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.6769e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	8.37804e+07
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	1.09385e+06
P30273	FCERG_HUMAN	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma	5.08108e+06
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	3.8844e+06
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.79701e+07
P30511	HLAF_HUMAN	HLA-F	HLA class I histocompatibility antigen, alpha chain F	2.46349e+06
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	1.39975e+07
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	1.60024e+07
P30530	UFO_HUMAN	AXL	Tyrosine-protein kinase receptor UFO	2.57257e+06
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	9.7353e+06
P30536	TSPO_HUMAN	TSPO	Translocator protein	8.45291e+06
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	1.30515e+07
P30613	KPYR_HUMAN	PKLR	Pyruvate kinase PKLR	9.19887e+06
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	8.6555e+06
P30626	SORCN_HUMAN	SRI	Sorcin	6.49266e+07
P30679	GNA15_HUMAN	GNA15	Guanine nucleotide-binding protein subunit alpha-15	2.89718e+06
P30711	GSTT1_HUMAN	GSTT1	Glutathione S-transferase theta-1	6.65114e+06
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	1.17242e+08
P30825	CTR1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	921969
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	9.04492e+06
P30838	AL3A1_HUMAN	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring	4.52202e+07
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	1.68428e+07
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	2.68591e+07
P31146	COR1A_HUMAN	CORO1A	Coronin-1A	3.58947e+08
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	3.05846e+07
P31151	S10A7_HUMAN	S100A7	Protein S100-A7	4.01756e+06
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	3.35653e+07
P31271	HXA13_HUMAN	HOXA13	Homeobox protein Hox-A13	285669
P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	984286
P31323	KAP3_HUMAN	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit	5.43085e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	6.69093e+06
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	4.32349e+06
P31431	SDC4_HUMAN	SDC4	Syndecan-4	1.62416e+07
P31483	TIA1_HUMAN	TIA1	Cytotoxic granule associated RNA binding protein TIA1	4.17517e+06
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	1.44801e+07
P31749	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	9.56667e+06
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	4.37014e+06
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	4.19561e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.36182e+07
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	3.01696e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	7.41997e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.68485e+08
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	4.58873e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	2.71592e+08
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	6.08649e+07
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	1.80125e+08
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	2.95575e+06
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	2.76409e+08
P32121	ARRB2_HUMAN	ARRB2	Beta-arrestin-2	348517
P32189	GLPK_HUMAN	GK	Glycerol kinase	2.04401e+06
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	9.22648e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	9.55545e+06
P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	3.57183e+07
P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	1.21159e+07
P32519	ELF1_HUMAN	ELF1	ETS-related transcription factor Elf-1	7.5689e+06
P32780	TF2H1_HUMAN	GTF2H1	General transcription factor IIH subunit 1	8.33005e+06
P32926	DSG3_HUMAN	DSG3	Desmoglein-3	1.66187e+08
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3	4.9283e+06
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	8.94686e+07
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	8.03814e+06
P33151	CADH5_HUMAN	CDH5	Cadherin-5	4.0858e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	2.34117e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	1.81486e+07
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	7.10449e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	3.45503e+07
P33402	GCYA2_HUMAN	GUCY1A2	Guanylate cyclase soluble subunit alpha-2	1.22748e+07
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	5.36604e+06
P33552	CKS2_HUMAN	CKS2	Cyclin-dependent kinases regulatory subunit 2	2.23282e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	1.49903e+06
P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	2.47134e+07
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	3.06539e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	5.75986e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	3.69207e+07
P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	1.36142e+06
P34096	RNAS4_HUMAN	RNASE4	Ribonuclease 4	1.34136e+06
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	5.84901e+06
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	8.47074e+07
P34910	EVI2B_HUMAN	EVI2B	Protein EVI2B	1.19977e+07
P34913	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2	3.10831e+06
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	2.95596e+06
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	3.27242e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	9.20951e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	8.8066e+06
P35080	PROF2_HUMAN	PFN2	Profilin-2	2.9949e+07
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	5.66024e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	8.72472e+07
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	9.15226e+07
P35236	PTN7_HUMAN	PTPN7	Tyrosine-protein phosphatase non-receptor type 7	681566
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	4.35093e+07
P35240	MERL_HUMAN	NF2	Merlin	876477
P35241	RADI_HUMAN	RDX	Radixin	2.8466e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	3.77335e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	7.97361e+06
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	1.14942e+07
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	4.5227e+06
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	2.16434e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	5.46444e+06
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	1.35592e+07
P35321	SPR1A_HUMAN	SPRR1A	Cornifin-A	8.68617e+06
P35442	TSP2_HUMAN	THBS2	Thrombospondin-2	5.85835e+07
P35443	TSP4_HUMAN	THBS4	Thrombospondin-4	639109
P35475	IDUA_HUMAN	IDUA	Alpha-L-iduronidase	5.97248e+06
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	2.61662e+07
P35542	SAA4_HUMAN	SAA4	Serum amyloid A-4 protein	6.84758e+06
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	4.68114e+07
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1.74466e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	3.03559e+08
P35580	MYH10_HUMAN	MYH10	Myosin-10	2.55807e+07
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	6.51017e+07
P35609	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	2.25626e+07
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	2.45186e+07
P35613	BASI_HUMAN	BSG	Basigin	5.10489e+07
P35625	TIMP3_HUMAN	TIMP3	Metalloproteinase inhibitor 3	1.69549e+06
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	1.68717e+08
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	1.02249e+07
P35659	DEK_HUMAN	DEK	Protein DEK	5.21443e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	1.00675e+08
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	1.00144e+07
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	1.37853e+07
P35858	ALS_HUMAN	IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	4.31717e+06
P35869	AHR_HUMAN	AHR	Aryl hydrocarbon receptor	1.86575e+06
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	2.54472e+09
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	1.07603e+07
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	3.45997e+07
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	1.64052e+07
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	8.82397e+06
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	1.53079e+07
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	2.03074e+07
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	5.79619e+07
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	1.71256e+07
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	5.99196e+06
