Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190319yix_KRUK_DIA_b5_15.mzML
P27708	PYR1_HUMAN	CAD	CAD protein	3.28585e+07
P27797	CALR_HUMAN	CALR	Calreticulin	9.19823e+07
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	6.36494e+07
P27824	CALX_HUMAN	CANX	Calnexin	6.7706e+07
P27986	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	2.88129e+06
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	4.51333e+07
P28065	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9	4.56407e+07
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	4.29691e+07
P28067	DMA_HUMAN	HLA-DMA	HLA class II histocompatibility antigen, DM alpha chain	1.5161e+06
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	3.27876e+07
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	1.55028e+07
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	5.70053e+06
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2	2.08315e+07
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	3.96173e+06
P28300	LYOX_HUMAN	LOX	Protein-lysine 6-oxidase	5.11762e+06
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	4.1615e+07
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	4.30821e+07
P28676	GRAN_HUMAN	GCA	Grancalcin	1.34151e+07
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	797468
P28715	ERCC5_HUMAN	ERCC5	DNA excision repair protein ERCC-5	2.93244e+08
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	1.602e+08
P28906	CD34_HUMAN	CD34	Hematopoietic progenitor cell antigen CD34	2.15229e+07
P28907	CD38_HUMAN	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	2.90934e+07
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	4.04055e+06
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	1.27039e+07
P29323	EPHB2_HUMAN	EPHB2	Ephrin type-B receptor 2	3.37048e+06
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	5.17956e+07
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	2.01466e+06
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	2.23288e+06
P29373	RABP2_HUMAN	CRABP2	Cellular retinoic acid-binding protein 2	4.34312e+06
P29401	TKT_HUMAN	TKT	Transketolase	1.11056e+08
P29466	CASP1_HUMAN	CASP1	Caspase-1	1.5412e+07
P29474	NOS3_HUMAN	NOS3	Nitric oxide synthase 3	685882
P29536	LMOD1_HUMAN	LMOD1	Leiomodin-1	1.22094e+07
P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	6.51812e+06
P29590	PML_HUMAN	PML	Protein PML	3.10838e+07
P29597	TYK2_HUMAN	TYK2	Non-receptor tyrosine-protein kinase TYK2	751040
P29622	KAIN_HUMAN	SERPINA4	Kallistatin	2.3607e+07
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	9.37046e+07
P29728	OAS2_HUMAN	OAS2	2'-5'-oligoadenylate synthase 2	1.20343e+07
P29762	RABP1_HUMAN	CRABP1	Cellular retinoic acid-binding protein 1	9.43284e+06
P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	5.45869e+07
P29972	AQP1_HUMAN	AQP1	Aquaporin-1	210580
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	1.63414e+07
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	3.17399e+06
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	4.44506e+07
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	6.63609e+07
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	3.87768e+08
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1.17655e+08
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	2.47743e+07
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	4.36216e+07
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	4.67628e+07
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	1.34683e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	3.38565e+07
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	2.32815e+07
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	2.0562e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.46904e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	4.48063e+07
P30273	FCERG_HUMAN	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma	2.01063e+07
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	9.28403e+06
P30511	HLAF_HUMAN	HLA-F	HLA class I histocompatibility antigen, alpha chain F	3.231e+06
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	1.34978e+07
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	7.71788e+06
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.1281e+07
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	2.62674e+07
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	4.17083e+06
P30626	SORCN_HUMAN	SRI	Sorcin	5.94083e+07
P30711	GSTT1_HUMAN	GSTT1	Glutathione S-transferase theta-1	6.78301e+06
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	5.48678e+07
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	1.33115e+07
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	1.41422e+07
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	2.1008e+07
P31146	COR1A_HUMAN	CORO1A	Coronin-1A	3.13504e+08
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	2.39843e+07
P31151	S10A7_HUMAN	S100A7	Protein S100-A7	896372
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	1.80548e+07
P31323	KAP3_HUMAN	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit	9.02033e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1.04829e+07
P31483	TIA1_HUMAN	TIA1	Cytotoxic granule associated RNA binding protein TIA1	5.46003e+06
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	1.0501e+07
P31749	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	3.2743e+06
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	2.30041e+06
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	2.97356e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.03558e+07
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	2.47791e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	5.43907e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.00479e+08
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1.35179e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	1.02427e+06
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	4.8954e+07
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	5.07434e+07
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	9.31319e+07
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	2.15451e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	4.24209e+06
P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	3.67202e+07
P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	1.69859e+07
P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	890861
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3	6.5054e+06
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	9.96024e+07
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	1.87933e+07
P33151	CADH5_HUMAN	CDH5	Cadherin-5	4.15318e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	2.22535e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	6.42083e+06
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	6.57582e+07
P33402	GCYA2_HUMAN	GUCY1A2	Guanylate cyclase soluble subunit alpha-2	1.04193e+06
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	5.30171e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	665582
P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	7.37987e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	9.52474e+06
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	3.95494e+06
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	3.08412e+06
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	3.80502e+06
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	2.21657e+07
P34910	EVI2B_HUMAN	EVI2B	Protein EVI2B	4.11684e+06
P34913	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2	2.96578e+06
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	1.7343e+06
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	2.00129e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	4.89643e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	2.91053e+06
P35080	PROF2_HUMAN	PFN2	Profilin-2	1.30514e+07
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	3.43212e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	1.4744e+07
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	5.48065e+07
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	2.49281e+07
P35241	RADI_HUMAN	RDX	Radixin	1.41065e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	1.84518e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	3.3045e+07
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	465195
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	1.79078e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	3.69666e+06
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	7.73804e+06
P35442	TSP2_HUMAN	THBS2	Thrombospondin-2	2.60397e+07
P35443	TSP4_HUMAN	THBS4	Thrombospondin-4	1.7637e+07
P35475	IDUA_HUMAN	IDUA	Alpha-L-iduronidase	2.18631e+06
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	7.34577e+07
P35542	SAA4_HUMAN	SAA4	Serum amyloid A-4 protein	3.27296e+07
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	7.88763e+07
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1.65576e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	3.0286e+08
P35580	MYH10_HUMAN	MYH10	Myosin-10	4.81958e+07
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	2.308e+07
P35609	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	3.60476e+06
P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	2.59693e+06
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	3.21659e+07
P35612	ADDB_HUMAN	ADD2	Beta-adducin	3.56387e+06
P35613	BASI_HUMAN	BSG	Basigin	2.36121e+07
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	8.51454e+07
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	4.50544e+06
P35659	DEK_HUMAN	DEK	Protein DEK	1.22719e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	9.00136e+07
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	1.88123e+07
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	8.1434e+06
P35858	ALS_HUMAN	IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	1.26121e+07
P35869	AHR_HUMAN	AHR	Aryl hydrocarbon receptor	2.75177e+06
P35900	K1C20_HUMAN	KRT20	Keratin, type I cytoskeletal 20	4.76127e+06
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	1.00699e+08
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	5.95081e+06
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	2.26084e+07
P36222	CH3L1_HUMAN	CHI3L1	Chitinase-3-like protein 1	1.87993e+06
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	4.65376e+07
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	4.09288e+06
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	7.32412e+06
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	6.26315e+06
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	5.15225e+07
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	2.14376e+07
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	1.30413e+06
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	1.71958e+08
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	8.99074e+06
P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	3.73842e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	8.74171e+06
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	6.03952e+06
P36952	SPB5_HUMAN	SERPINB5	Serpin B5	1.66026e+06
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	5.64671e+07
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	6.77628e+07
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	5.10459e+06
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	3.83087e+07
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	2.85511e+06
P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	1.29844e+07
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	3.04474e+08
P37837	TALDO_HUMAN	TALDO1	Transaldolase	5.95021e+07
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	4.05081e+07
P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	9.58356e+07
P38570	ITAE_HUMAN	ITGAE	Integrin alpha-E	593886
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	3.29941e+06
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	4.59824e+07
P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	6.39866e+07
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	3.3317e+07
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	1.29403e+08
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	1.20368e+08
P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	2.26579e+07
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	3.60137e+07
P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1.49071e+08
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	8.94292e+07
P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	5.92485e+06
P39880	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	2.34217e+06
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	5.82637e+07
P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	4.28545e+06
P40189	IL6RB_HUMAN	IL6ST	Interleukin-6 receptor subunit beta	955402
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	1.57408e+07
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	4.91103e+07
P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	1.10074e+08
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	2.06444e+07
P40424	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1	3.30215e+06
P40429	RL13A_HUMAN	RPL13A	Large ribosomal subunit protein uL13	1.47898e+08
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	7.69869e+06
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	1.15683e+07
P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	3.50761e+06
P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	1.08663e+08
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	1.08324e+08
P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	4.09136e+07
P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	2.23114e+07
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	1.25618e+06
P41218	MNDA_HUMAN	MNDA	Myeloid cell nuclear differentiation antigen	1.19244e+07
P41219	PERI_HUMAN	PRPH	Peripherin	2.40765e+07
P41222	PTGDS_HUMAN	PTGDS	Prostaglandin-H2 D-isomerase	8.93613e+06
P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	4.20386e+06
P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	9.58045e+06
P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	4.29063e+06
P41236	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	3.85649e+06
P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.90818e+07
P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	1.88254e+07
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	1.37524e+07
P41567	EIF1_HUMAN	EIF1	Eukaryotic translation initiation factor 1	2.32982e+07
P42081	CD86_HUMAN	CD86	T-lymphocyte activation antigen CD86	6.32374e+06
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	1.88965e+07
P42166	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	2.66004e+06
P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	4.43542e+07
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	1.08486e+08
P42226	STAT6_HUMAN	STAT6	Signal transducer and activator of transcription 6	6.10849e+06
P42229	STA5A_HUMAN	STAT5A	Signal transducer and activator of transcription 5A	5.96015e+06
P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	1.44901e+07
P42330	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	3.24389e+07
P42331	RHG25_HUMAN	ARHGAP25	Rho GTPase-activating protein 25	3.5506e+07
P42336	PK3CA_HUMAN	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	837966
P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	1.59029e+06
P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	1.09114e+07
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	1.10604e+07
P42574	CASP3_HUMAN	CASP3	Caspase-3	1.35485e+07
P42677	RS27_HUMAN	RPS27	Small ribosomal subunit protein eS27	6.80535e+07
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	1.52486e+07
P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	4.76501e+07
P42766	RL35_HUMAN	RPL35	Large ribosomal subunit protein uL29	1.84822e+08
P42768	WASP_HUMAN	WAS	Actin nucleation-promoting factor WAS	3.81476e+07
P42771	CDN2A_HUMAN	CDKN2A	Cyclin-dependent kinase inhibitor 2A	423243
P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	1.35898e+07
P42858	HD_HUMAN	HTT	Huntingtin	4.94211e+06
P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	6.10738e+06
P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	1.76515e+07
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	9.42065e+06
P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	1.97873e+06
P43243	MATR3_HUMAN	MATR3	Matrin-3	2.90534e+07
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	1.3821e+07
P43251	BTD_HUMAN	BTD	Biotinidase	4.36712e+06
P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.22873e+07
P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	4.61525e+07
P43363	MAGAA_HUMAN	MAGEA10	Melanoma-associated antigen 10	637162
P43405	KSYK_HUMAN	SYK	Tyrosine-protein kinase SYK	1.07196e+07
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	2.61866e+07
P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	2.20476e+07
P43652	AFAM_HUMAN	AFM	Afamin	4.88976e+06
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	2.92595e+07
P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	7.81862e+06
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	4.72774e+07
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	7.69952e+06
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	1.49821e+07
P45985	MP2K4_HUMAN	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4	2.08003e+06
P46019	KPB2_HUMAN	PHKA2	Phosphorylase b kinase regulatory subunit alpha, liver isoform	376490
P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	1.01959e+07
P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	1.13052e+07
P46087	NOP2_HUMAN	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	5.38244e+06
P46100	ATRX_HUMAN	ATRX	Transcriptional regulator ATRX	716463
P46108	CRK_HUMAN	CRK	Adapter molecule crk	1.52754e+07
P46109	CRKL_HUMAN	CRKL	Crk-like protein	3.31516e+07
P46199	IF2M_HUMAN	MTIF2	Translation initiation factor IF-2, mitochondrial	2.38621e+06
P46379	BAG6_HUMAN	BAG6	Large proline-rich protein BAG6	5.26689e+06
P46459	NSF_HUMAN	NSF	Vesicle-fusing ATPase	2.58118e+07
P46721	SO1A2_HUMAN	SLCO1A2	Solute carrier organic anion transporter family member 1A2	6.82436e+06
P46734	MP2K3_HUMAN	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3	1.92976e+06
P46776	RL27A_HUMAN	RPL27A	Large ribosomal subunit protein uL15	2.41922e+08
P46777	RL5_HUMAN	RPL5	Large ribosomal subunit protein uL18	9.15947e+07
P46778	RL21_HUMAN	RPL21	Large ribosomal subunit protein eL21	1.23751e+08
P46779	RL28_HUMAN	RPL28	Large ribosomal subunit protein eL28	7.62578e+07
P46781	RS9_HUMAN	RPS9	Small ribosomal subunit protein uS4	1.53199e+08
P46782	RS5_HUMAN	RPS5	Small ribosomal subunit protein uS7	6.93301e+07
P46783	RS10_HUMAN	RPS10	Small ribosomal subunit protein eS10	1.23203e+08
P46821	MAP1B_HUMAN	MAP1B	Microtubule-associated protein 1B	1.65102e+07
P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1	1.78809e+07
P46937	YAP1_HUMAN	YAP1	Transcriptional coactivator YAP1	1.02261e+07
P46939	UTRN_HUMAN	UTRN	Utrophin	8.47609e+07
P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1	7.77996e+07
P46952	3HAO_HUMAN	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	2.89268e+06
P46976	GLYG_HUMAN	GYG1	Glycogenin-1	1.76079e+07
P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	2.71197e+07
P47224	MSS4_HUMAN	RABIF	Guanine nucleotide exchange factor MSS4	6.07321e+06
P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2	3.74289e+07
P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta	1.02884e+08
P47813	IF1AX_HUMAN	EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal	9.94102e+06
P47895	AL1A3_HUMAN	ALDH1A3	Retinaldehyde dehydrogenase 3	7.00865e+06
P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase	1.17632e+07
P47914	RL29_HUMAN	RPL29	Large ribosomal subunit protein eL29	1.18711e+08
P47985	UCRI_HUMAN	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	1.07756e+08
P48047	ATPO_HUMAN	ATP5PO	ATP synthase subunit O, mitochondrial	7.23052e+07
P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	4.27004e+06
P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1.21796e+07
P48426	PI42A_HUMAN	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	9.95087e+06
P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	2.99705e+07
