Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190315yix_KRUK_DIA_b1_13.mzML
P25686	DNJB2_HUMAN	DNAJB2	DnaJ homolog subfamily B member 2	5.94669e+06
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	6.50268e+08
P25774	CATS_HUMAN	CTSS	Cathepsin S	5.28736e+07
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	1.03163e+08
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	5.9592e+07
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	9.88165e+07
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	4.66263e+07
P25815	S100P_HUMAN	S100P	Protein S100-P	2.18043e+08
P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	3.19684e+07
P26038	MOES_HUMAN	MSN	Moesin	4.06741e+08
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	4.50697e+07
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	6.52958e+06
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	8.9917e+07
P26373	RL13_HUMAN	RPL13	Large ribosomal subunit protein eL13	4.7134e+08
P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	2.45893e+07
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	6.69454e+07
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	1.13927e+08
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1.79068e+08
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	1.09536e+08
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	1.03191e+08
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	1.7174e+08
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	6.70003e+07
P27105	STOM_HUMAN	STOM	Stomatin	1.81048e+08
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	8.43395e+06
P27216	ANX13_HUMAN	ANXA13	Annexin A13	6.68644e+07
P27338	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	1.76164e+07
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	1.47373e+08
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	7.60162e+07
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3	3.20853e+06
P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3	1.27527e+08
P27487	DPP4_HUMAN	DPP4	Dipeptidyl peptidase 4	1.37308e+07
P27635	RL10_HUMAN	RPL10	Large ribosomal subunit protein uL16	1.79887e+08
P27658	CO8A1_HUMAN	COL8A1	Collagen alpha-1(VIII) chain	2.46352e+06
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	2.14615e+07
P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	4.8896e+07
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	5.48303e+06
P27708	PYR1_HUMAN	CAD	CAD protein	1.03993e+07
P27797	CALR_HUMAN	CALR	Calreticulin	1.49089e+08
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	1.14083e+08
P27824	CALX_HUMAN	CANX	Calnexin	1.13964e+08
P27986	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	4.8278e+07
P27987	IP3KB_HUMAN	ITPKB	Inositol-trisphosphate 3-kinase B	6.72863e+06
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	3.14579e+07
P28065	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9	2.89599e+07
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	6.80518e+07
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	3.17056e+07
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	1.47139e+07
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	5.86454e+06
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2	2.14493e+07
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	1.64042e+07
P28289	TMOD1_HUMAN	TMOD1	Tropomodulin-1	1.43699e+07
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	5.20068e+06
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	5.9537e+07
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	2.67357e+06
P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1	9.7229e+06
P28370	SMCA1_HUMAN	SMARCA1	Probable global transcription activator SNF2L1	1.57916e+07
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	7.89127e+07
P28676	GRAN_HUMAN	GCA	Grancalcin	3.75324e+06
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	559399
P28715	ERCC5_HUMAN	ERCC5	DNA excision repair protein ERCC-5	1.24647e+07
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	2.65175e+08
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	3.93408e+06
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	2.88946e+06
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	1.13374e+07
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	1.57687e+07
P29323	EPHB2_HUMAN	EPHB2	Ephrin type-B receptor 2	2.57147e+07
P29350	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	1.44411e+07
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	4.68371e+06
P29401	TKT_HUMAN	TKT	Transketolase	4.29022e+08
P29466	CASP1_HUMAN	CASP1	Caspase-1	1.79961e+07
P29474	NOS3_HUMAN	NOS3	Nitric oxide synthase 3	5.31969e+07
P29536	LMOD1_HUMAN	LMOD1	Leiomodin-1	1.25274e+08
P29558	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	6.50176e+06
P29590	PML_HUMAN	PML	Protein PML	2.48919e+07
P29622	KAIN_HUMAN	SERPINA4	Kallistatin	1.48044e+07
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	1.75107e+08
P29728	OAS2_HUMAN	OAS2	2'-5'-oligoadenylate synthase 2	1.6445e+07
P29966	MARCS_HUMAN	MARCKS	Myristoylated alanine-rich C-kinase substrate	7.68699e+07
P29972	AQP1_HUMAN	AQP1	Aquaporin-1	3.159e+07
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	2.16762e+07
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	1.56947e+07
P30039	PBLD_HUMAN	PBLD	Phenazine biosynthesis-like domain-containing protein	1.05366e+07
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	1.15623e+08
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	1.48858e+08
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	3.47239e+08
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1.94662e+08
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	4.62044e+07
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	2.89447e+06
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	9.49162e+07
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	1.24771e+08
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	2.27591e+08
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	1.03826e+08
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	1.18871e+08
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	7.3699e+08
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.9671e+08
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	9.87722e+07
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	2.10015e+06
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	3.14774e+06
P30273	FCERG_HUMAN	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma	1.40386e+07
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1.0403e+07
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.87662e+07
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	3.79263e+07
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	2.59329e+07
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.59184e+07
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	3.48425e+07
P30613	KPYR_HUMAN	PKLR	Pyruvate kinase PKLR	2.30327e+06
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	2.04044e+07
P30626	SORCN_HUMAN	SRI	Sorcin	1.95075e+08
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	2.15127e+08
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	6.73916e+07
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	6.06375e+06
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	2.86774e+07
P31146	COR1A_HUMAN	CORO1A	Coronin-1A	2.27001e+08
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	3.60217e+07
P31151	S10A7_HUMAN	S100A7	Protein S100-A7	670909
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	5.87831e+07
P31323	KAP3_HUMAN	PRKAR2B	cAMP-dependent protein kinase type II-beta regulatory subunit	9.65377e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	9.14539e+06
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	1.55289e+07
P31431	SDC4_HUMAN	SDC4	Syndecan-4	2.52657e+06
P31483	TIA1_HUMAN	TIA1	Cytotoxic granule associated RNA binding protein TIA1	1.56843e+07
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	2.14429e+07
P31749	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	7.0312e+06
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	2.32549e+06
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	8.58946e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	2.93342e+07
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	1.00887e+08
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	9.87828e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.78494e+08
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	8.17693e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	5.37527e+07
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	1.23637e+08
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	7.23948e+07
P31997	CEAM8_HUMAN	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	1.10869e+07
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	1.79079e+08
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	1.29996e+06
P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	2.90114e+07
P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	2.33996e+07
P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	1.59672e+06
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	2.27783e+08
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	1.27112e+07
P33151	CADH5_HUMAN	CDH5	Cadherin-5	1.65696e+07
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	4.61909e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	2.49088e+07
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	5.55287e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	5.88111e+07
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	4.89017e+06
P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	2.45184e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	3.5794e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	2.00411e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	3.24534e+07
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	3.1943e+07
P34913	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2	1.33465e+07
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	6.31333e+06
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	6.75045e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	6.84183e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	7.70063e+06
P35080	PROF2_HUMAN	PFN2	Profilin-2	1.6663e+07
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	9.84106e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	7.42845e+07
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	1.67808e+08
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	1.25753e+08
P35240	MERL_HUMAN	NF2	Merlin	498429
P35241	RADI_HUMAN	RDX	Radixin	2.02697e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	2.84354e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	9.71006e+06
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	3.28754e+06
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	1.23892e+06
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	4.262e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	1.10378e+07
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	3.55918e+07
P35443	TSP4_HUMAN	THBS4	Thrombospondin-4	1.55499e+07
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	2.35128e+08
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	2.46092e+07
P35558	PCKGC_HUMAN	PCK1	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	853947
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1.77668e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	1.39734e+09
P35580	MYH10_HUMAN	MYH10	Myosin-10	5.79547e+07
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	4.30699e+07
P35609	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	8.57713e+06
P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	6.11871e+06
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	3.78669e+07
P35613	BASI_HUMAN	BSG	Basigin	5.68395e+07
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	2.99199e+08
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	8.76352e+06
P35659	DEK_HUMAN	DEK	Protein DEK	2.03668e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	1.40139e+09
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	7.85662e+06
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	1.35209e+07
P35900	K1C20_HUMAN	KRT20	Keratin, type I cytoskeletal 20	2.95676e+08
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	6.36862e+07
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	2.40652e+07
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	2.68425e+07
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	1.81884e+07
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	1.19239e+06
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	2.00568e+07
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	5.59738e+06
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	9.34039e+07
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	3.55483e+07
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	5.53277e+06
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	4.27039e+08
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	1.96298e+07
P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	4.71235e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	2.03208e+07
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	7.99096e+06
P36952	SPB5_HUMAN	SERPINB5	Serpin B5	1.55976e+07
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	3.42433e+07
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1.16191e+08
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	6.68327e+06
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	1.01238e+08
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	8.76441e+06
P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	2.12125e+07
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	1.48181e+09
P37837	TALDO_HUMAN	TALDO1	Transaldolase	2.4333e+08
P37840	SYUA_HUMAN	SNCA	Alpha-synuclein	1.15149e+06
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	8.70325e+07
P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	2.53778e+08
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	1.63511e+07
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	3.54134e+08
P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	2.82432e+08
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	7.46995e+07
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	2.72337e+08
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	1.10702e+08
P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	7.31347e+06
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	6.16747e+07
P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	9.57447e+07
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	2.66235e+08
P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	3.35895e+07
P39880	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	4.12704e+06
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	2.3429e+08
P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	2.11208e+07
P40199	CEAM6_HUMAN	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	6.60791e+07
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	4.05121e+07
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	1.27801e+08
P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	8.03891e+07
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	2.43607e+07
P40424	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1	5.67304e+06
P40429	RL13A_HUMAN	RPL13A	Large ribosomal subunit protein uL13	2.85401e+08
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	1.84596e+07
P40692	MLH1_HUMAN	MLH1	DNA mismatch repair protein Mlh1	1.86959e+06
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	1.59417e+07
P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	6.61751e+06
P40855	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19	8.76643e+06
P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	3.16286e+08
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	2.88906e+08
P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	4.06348e+06
P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	1.51272e+06
P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	1.07656e+08
P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	6.77229e+07
P41212	ETV6_HUMAN	ETV6	Transcription factor ETV6	2.94346e+06
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	4.16064e+06
P41218	MNDA_HUMAN	MNDA	Myeloid cell nuclear differentiation antigen	6.04241e+07
P41219	PERI_HUMAN	PRPH	Peripherin	7.58464e+06
P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	4.88788e+06
P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	9.39348e+06
P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	1.89704e+07
P41235	HNF4A_HUMAN	HNF4A	Hepatocyte nuclear factor 4-alpha	3.12102e+06
P41236	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	1.88357e+07
P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.77274e+07
P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	5.79568e+07
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	2.32209e+07
P41567	EIF1_HUMAN	EIF1	Eukaryotic translation initiation factor 1	5.68636e+07
P41743	KPCI_HUMAN	PRKCI	Protein kinase C iota type	7.54682e+06
P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	213640
P42081	CD86_HUMAN	CD86	T-lymphocyte activation antigen CD86	1.11421e+06
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	6.32198e+07
P42166	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	1.25611e+07
P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	7.04402e+07
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	7.55845e+07
P42226	STAT6_HUMAN	STAT6	Signal transducer and activator of transcription 6	2.75913e+06
P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	3.6317e+06
P42330	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	6.74395e+07
P42331	RHG25_HUMAN	ARHGAP25	Rho GTPase-activating protein 25	1.56985e+06
P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	4.66263e+06
P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	7.29406e+07
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	1.6374e+07
P42574	CASP3_HUMAN	CASP3	Caspase-3	1.57338e+07
P42677	RS27_HUMAN	RPS27	Small ribosomal subunit protein eS27	1.19373e+08
P42696	RBM34_HUMAN	RBM34	RNA-binding protein 34	6.97102e+06
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	3.57215e+07
P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	8.52162e+07
P42766	RL35_HUMAN	RPL35	Large ribosomal subunit protein uL29	2.49787e+08
P42768	WASP_HUMAN	WAS	Actin nucleation-promoting factor WAS	9.66405e+06
P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	7.5698e+06
P42858	HD_HUMAN	HTT	Huntingtin	6.0287e+06
P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	3.81239e+06
P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	2.52422e+07
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	6.43967e+07
P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	8.68305e+06
P43243	MATR3_HUMAN	MATR3	Matrin-3	1.02038e+08
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	1.23012e+07
P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.26492e+07
P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	5.77447e+07
P43308	SSRB_HUMAN	SSR2	Translocon-associated protein subunit beta	8.78089e+06
P43405	KSYK_HUMAN	SYK	Tyrosine-protein kinase SYK	2.48366e+06
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	1.66661e+08
P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	3.9699e+07
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	3.49743e+07
P43897	EFTS_HUMAN	TSFM	Elongation factor Ts, mitochondrial	1.18604e+07
P45378	TNNT3_HUMAN	TNNT3	Troponin T, fast skeletal muscle	6.60522e+07
P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	5.37872e+06
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	7.95787e+07
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	9.40662e+06
P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5	2.49656e+07
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	4.15486e+07
P45983	MK08_HUMAN	MAPK8	Mitogen-activated protein kinase 8	4.33188e+06
P45984	MK09_HUMAN	MAPK9	Mitogen-activated protein kinase 9	1.70002e+06
