Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_11.mzML
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	4.45878e+07
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	5.78238e+06
P33151	CADH5_HUMAN	CDH5	Cadherin-5	5.26661e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	1.06437e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	5.83956e+06
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	2.98964e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	8.63498e+06
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	1.51278e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	955719
P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	3.50554e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	5.26261e+06
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	1.22765e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	8.46369e+06
P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	181977
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	2.35351e+06
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	2.4095e+07
P34910	EVI2B_HUMAN	EVI2B	Protein EVI2B	1.76859e+06
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	5.28209e+07
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	1.51939e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	1.23095e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	1.78277e+06
P35080	PROF2_HUMAN	PFN2	Profilin-2	3.94782e+06
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	2.14187e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	2.98614e+07
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	4.70581e+07
P35236	PTN7_HUMAN	PTPN7	Tyrosine-protein phosphatase non-receptor type 7	1.42781e+06
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	1.30665e+07
P35240	MERL_HUMAN	NF2	Merlin	534778
P35241	RADI_HUMAN	RDX	Radixin	6.60268e+06
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	1.10352e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	2.9169e+06
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	1.77133e+06
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	1.76394e+06
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	1.04209e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	2.3751e+06
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	3.09867e+06
P35442	TSP2_HUMAN	THBS2	Thrombospondin-2	6.01497e+06
P35475	IDUA_HUMAN	IDUA	Alpha-L-iduronidase	1.50915e+06
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	1.6265e+08
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	3.63169e+07
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1.79328e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	1.80832e+08
P35580	MYH10_HUMAN	MYH10	Myosin-10	4.52505e+06
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	3.27204e+07
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	7.67837e+06
P35613	BASI_HUMAN	BSG	Basigin	2.59489e+07
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	3.61638e+07
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	4.25654e+06
P35659	DEK_HUMAN	DEK	Protein DEK	2.79395e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	1.60914e+07
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	7.16738e+06
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	5.29125e+06
P35858	ALS_HUMAN	IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	1.31843e+06
P35869	AHR_HUMAN	AHR	Aryl hydrocarbon receptor	1.32246e+06
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	8.29712e+08
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	3.08291e+06
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	1.24945e+07
P36222	CH3L1_HUMAN	CHI3L1	Chitinase-3-like protein 1	4.35456e+06
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	5.5317e+06
P36402;Q9NQB0;Q9UJU2	LEF1_HUMAN;TCF7_HUMAN;TF7L2_HUMAN	LEF1;TCF7;TCF7L2	Transcription factor 7	926485
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	2.87742e+06
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	4.57519e+06
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	7.42202e+06
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	3.48388e+07
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	9.18445e+06
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	2.9316e+06
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	1.08015e+08
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	9.64164e+06
P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	1.22381e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	7.05816e+06
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	2.76772e+06
P36952	SPB5_HUMAN	SERPINB5	Serpin B5	7.23637e+06
P36954	RPB9_HUMAN	POLR2I	DNA-directed RNA polymerase II subunit RPB9	486133
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	4.61554e+06
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	4.70204e+07
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	4.03464e+06
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	1.93626e+07
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	2.65872e+06
P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	6.0799e+06
P37268	FDFT_HUMAN	FDFT1	Squalene synthase	215651
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	2.24386e+08
P37837	TALDO_HUMAN	TALDO1	Transaldolase	5.45385e+07
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	2.11672e+07
P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	5.12762e+07
P38432	COIL_HUMAN	COIL	Coilin	854028
P38435	VKGC_HUMAN	GGCX	Vitamin K-dependent gamma-carboxylase	462115
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	1.24731e+06
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	4.06316e+07
P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	3.66476e+07
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	5.43178e+07
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	7.42641e+07
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	9.30098e+07
P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	1.6435e+07
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	4.6578e+07
P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	3.72553e+07
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	4.66162e+07
P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	6.3617e+07
P39900	MMP12_HUMAN	MMP12	Macrophage metalloelastase	1.36388e+06
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	4.97022e+07
P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	1.68855e+06
P40199	CEAM6_HUMAN	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	1.01223e+07
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	4.54709e+06
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	4.10921e+07
P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	4.69162e+07
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	1.63299e+07
P40424	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1	1.75717e+06
P40429	RL13A_HUMAN	RPL13A	Large ribosomal subunit protein uL13	1.31878e+08
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	4.22151e+06
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	1.12223e+07
P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	4.22283e+06
P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	4.07537e+07
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	7.8871e+07
P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	1.94562e+06
P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	2.56595e+06
P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	2.35262e+07
P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	2.26507e+07
P41208	CETN2_HUMAN	CETN2	Centrin-2	664642
P41212	ETV6_HUMAN	ETV6	Transcription factor ETV6	1.89698e+06
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	1.6941e+06
P41218	MNDA_HUMAN	MNDA	Myeloid cell nuclear differentiation antigen	3.60332e+07
P41221	WNT5A_HUMAN	WNT5A	Protein Wnt-5a	685755
P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	2.86812e+06
P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	7.53178e+06
P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	4.3203e+06
P41236	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	1.81806e+06
P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.35465e+07
P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	8.55169e+06
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	1.44412e+07
P41743	KPCI_HUMAN	PRKCI	Protein kinase C iota type	1.58234e+06
P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	5.89696e+06
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	9.24812e+06
P42166	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	2.90772e+06
P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	3.00609e+07
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	4.89849e+07
P42226	STAT6_HUMAN	STAT6	Signal transducer and activator of transcription 6	6.725e+06
P42229	STA5A_HUMAN	STAT5A	Signal transducer and activator of transcription 5A	5.80358e+06
P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	5.05429e+06
P42330	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	2.65439e+07
P42331	RHG25_HUMAN	ARHGAP25	Rho GTPase-activating protein 25	7.07035e+06
P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	4.76998e+06
P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	1.88504e+06
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	5.52452e+06
P42574	CASP3_HUMAN	CASP3	Caspase-3	1.10795e+07
P42677	RS27_HUMAN	RPS27	Small ribosomal subunit protein eS27	3.72222e+07
P42696	RBM34_HUMAN	RBM34	RNA-binding protein 34	7.25772e+06
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	1.73725e+07
P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	2.30357e+07
P42766	RL35_HUMAN	RPL35	Large ribosomal subunit protein uL29	8.87561e+07
P42768	WASP_HUMAN	WAS	Actin nucleation-promoting factor WAS	1.74191e+07
P42771	CDN2A_HUMAN	CDKN2A	Cyclin-dependent kinase inhibitor 2A	3.81075e+06
P42773	CDN2C_HUMAN	CDKN2C	Cyclin-dependent kinase 4 inhibitor C	1.18286e+06
P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	7.47583e+06
P42858	HD_HUMAN	HTT	Huntingtin	1.46591e+06
P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	1.45665e+06
P42898	MTHR_HUMAN	MTHFR	Methylenetetrahydrofolate reductase (NADPH)	1.74714e+06
P43007	SATT_HUMAN	SLC1A4	Neutral amino acid transporter A	969743
P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	2.95602e+07
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	5.97689e+06
P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	1.87985e+06
P43235	CATK_HUMAN	CTSK	Cathepsin K	984677
P43243	MATR3_HUMAN	MATR3	Matrin-3	2.40061e+07
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	4.11725e+06
P43250	GRK6_HUMAN	GRK6	G protein-coupled receptor kinase 6	1.08045e+06
P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.06406e+07
P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	2.0394e+07
P43378	PTN9_HUMAN	PTPN9	Tyrosine-protein phosphatase non-receptor type 9	577409
P43403	ZAP70_HUMAN	ZAP70	Tyrosine-protein kinase ZAP-70	2.22795e+06
P43405	KSYK_HUMAN	SYK	Tyrosine-protein kinase SYK	7.331e+06
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	1.62932e+07
P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	6.87668e+07
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	1.36595e+07
P43897	EFTS_HUMAN	TSFM	Elongation factor Ts, mitochondrial	2.33856e+06
P45452	MMP13_HUMAN	MMP13	Collagenase 3	467226
P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	4.16806e+06
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	4.50289e+07
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	4.11803e+06
P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5	4.59407e+06
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	1.18621e+07
P45984	MK09_HUMAN	MAPK9	Mitogen-activated protein kinase 9	315957
P45985	MP2K4_HUMAN	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4	712950
P46013	KI67_HUMAN	MKI67	Proliferation marker protein Ki-67	2.53123e+06
P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	8.17035e+06
P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	1.10349e+07
P46087	NOP2_HUMAN	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	1.17447e+07
P46100	ATRX_HUMAN	ATRX	Transcriptional regulator ATRX	895075
P46108	CRK_HUMAN	CRK	Adapter molecule crk	8.65627e+06
P46109	CRKL_HUMAN	CRKL	Crk-like protein	4.06795e+07
P46199	IF2M_HUMAN	MTIF2	Translation initiation factor IF-2, mitochondrial	2.35657e+06
P46379	BAG6_HUMAN	BAG6	Large proline-rich protein BAG6	5.83617e+06
P46459	NSF_HUMAN	NSF	Vesicle-fusing ATPase	1.03166e+07
P46531	NOTC1_HUMAN	NOTCH1	Neurogenic locus notch homolog protein 1	184939
P46734	MP2K3_HUMAN	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3	3.11658e+06
P46736	BRCC3_HUMAN	BRCC3	Lys-63-specific deubiquitinase BRCC36	2.1594e+06
P46776	RL27A_HUMAN	RPL27A	Large ribosomal subunit protein uL15	1.14021e+08
P46777	RL5_HUMAN	RPL5	Large ribosomal subunit protein uL18	4.13999e+07
P46778	RL21_HUMAN	RPL21	Large ribosomal subunit protein eL21	9.76081e+07
P46779	RL28_HUMAN	RPL28	Large ribosomal subunit protein eL28	3.81363e+07
P46781	RS9_HUMAN	RPS9	Small ribosomal subunit protein uS4	1.29083e+08
P46782	RS5_HUMAN	RPS5	Small ribosomal subunit protein uS7	3.83912e+07
P46783	RS10_HUMAN	RPS10	Small ribosomal subunit protein eS10	5.13191e+07
P46821	MAP1B_HUMAN	MAP1B	Microtubule-associated protein 1B	7.80786e+06
P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1	9.01627e+06
P46934	NEDD4_HUMAN	NEDD4	E3 ubiquitin-protein ligase NEDD4	143604
P46937	YAP1_HUMAN	YAP1	Transcriptional coactivator YAP1	4.32183e+06
P46939	UTRN_HUMAN	UTRN	Utrophin	5.30508e+07
P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1	7.32681e+07
P46952	3HAO_HUMAN	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	896881
P46976	GLYG_HUMAN	GYG1	Glycogenin-1	9.50755e+06
P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	2.46323e+07
P47224	MSS4_HUMAN	RABIF	Guanine nucleotide exchange factor MSS4	8.54694e+06
P47712	PA24A_HUMAN	PLA2G4A	Cytosolic phospholipase A2	1.53453e+06
P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2	1.82574e+07
P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta	4.76813e+07
P47895	AL1A3_HUMAN	ALDH1A3	Retinaldehyde dehydrogenase 3	2.56661e+06
P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase	1.19359e+07
P47914	RL29_HUMAN	RPL29	Large ribosomal subunit protein eL29	6.77703e+07
P47929	LEG7_HUMAN	LGALS7	Galectin-7	5.47757e+08
P47985	UCRI_HUMAN	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	6.23389e+06
P48047	ATPO_HUMAN	ATP5PO	ATP synthase subunit O, mitochondrial	4.13193e+07
P48059	LIMS1_HUMAN	LIMS1	LIM and senescent cell antigen-like-containing domain protein 1	5.33192e+06
P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	5.87089e+06
P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1.48531e+06
P48426	PI42A_HUMAN	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	5.66725e+06
P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	2.21555e+07
P48449	LSS_HUMAN	LSS	Lanosterol synthase	2.54419e+06
P48454	PP2BC_HUMAN	PPP3CC	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform	3.05929e+06
P48506	GSH1_HUMAN	GCLC	Glutamate--cysteine ligase catalytic subunit	3.33398e+06
P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit	4.21398e+06
P48553	TPC10_HUMAN	TRAPPC10	Trafficking protein particle complex subunit 10	869520
P48556	PSMD8_HUMAN	PSMD8	26S proteasome non-ATPase regulatory subunit 8	1.12055e+07
P48594	SPB4_HUMAN	SERPINB4	Serpin B4	1.2362e+07
P48595	SPB10_HUMAN	SERPINB10	Serpin B10	1.93202e+06
P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A	2.71745e+06
P48637	GSHB_HUMAN	GSS	Glutathione synthetase	1.22005e+07
P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	3.44649e+07
P48651	PTSS1_HUMAN	PTDSS1	Phosphatidylserine synthase 1	540404
P48681	NEST_HUMAN	NES	Nestin	9.71993e+06
P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	3.08721e+06
P48729	KC1A_HUMAN	CSNK1A1	Casein kinase I isoform alpha	5.3285e+06
P48730	KC1D_HUMAN	CSNK1D	Casein kinase I isoform delta	4.8004e+06
P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial	7.2895e+07
P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	5.64138e+06
P48960	AGRE5_HUMAN	ADGRE5	Adhesion G protein-coupled receptor E5	2.81153e+06
P49005	DPOD2_HUMAN	POLD2	DNA polymerase delta subunit 2	1.93013e+06
P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein	8.93637e+06
P49023	PAXI_HUMAN	PXN	Paxillin	3.81677e+06
P49116	NR2C2_HUMAN	NR2C2	Nuclear receptor subfamily 2 group C member 2	765781
P49137	MAPK2_HUMAN	MAPKAPK2	MAP kinase-activated protein kinase 2	7.22044e+06
P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	2.94385e+07
P49207	RL34_HUMAN	RPL34	Large ribosomal subunit protein eL34	1.16774e+08
P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase	2.60065e+06
P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	6.21887e+07
P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein	1.52374e+07
P49327	FAS_HUMAN	FASN	Fatty acid synthase	1.40155e+07
P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	4.73391e+06
P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	4.2883e+07
P49406	RM19_HUMAN	MRPL19	Large ribosomal subunit protein bL19m	3.3227e+06
P49407	ARRB1_HUMAN	ARRB1	Beta-arrestin-1	4.24006e+06
P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	6.18471e+07
P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase	1.95302e+07
P49441	INPP_HUMAN	INPP1	Inositol polyphosphate 1-phosphatase	6.72969e+06
P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein	1.56574e+07
P49585	PCY1A_HUMAN	PCYT1A	Choline-phosphate cytidylyltransferase A	6.30071e+06
P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	9.44888e+06
P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	1.03812e+07
P49590	SYHM_HUMAN	HARS2	Histidine--tRNA ligase, mitochondrial	504779
P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	7.26529e+06
P49593	PPM1F_HUMAN	PPM1F	Protein phosphatase 1F	7.88436e+06
P49662	CASP4_HUMAN	CASP4	Caspase-4	1.50319e+06
P49674	KC1E_HUMAN	CSNK1E	Casein kinase I isoform epsilon	838841
P49711	CTCF_HUMAN	CTCF	Transcriptional repressor CTCF	511323
P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	1.38002e+07
P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	1.54643e+07
P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2	7.59535e+06
P49746	TSP3_HUMAN	THBS3	Thrombospondin-3	270997
P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	713936
P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	1.62119e+07
P49750	YLPM1_HUMAN	YLPM1	YLP motif-containing protein 1	3.01773e+06
P49754	VPS41_HUMAN	VPS41	Vacuolar protein sorting-associated protein 41 homolog	590371
P49755	TMEDA_HUMAN	TMED10	Transmembrane emp24 domain-containing protein 10	2.83327e+07
P49756	RBM25_HUMAN	RBM25	RNA-binding protein 25	2.577e+07
P49757	NUMB_HUMAN	NUMB	Protein numb homolog	2.18263e+06
P49770	EI2BB_HUMAN	EIF2B2	Translation initiation factor eIF-2B subunit beta	2.20821e+06
P49773	HINT1_HUMAN	HINT1	Adenosine 5'-monophosphoramidase HINT1	2.14712e+07
P49789	FHIT_HUMAN	FHIT	Bis(5'-adenosyl)-triphosphatase	394783
P49790	NU153_HUMAN	NUP153	Nuclear pore complex protein Nup153	3.13143e+07
P49792	RBP2_HUMAN	RANBP2	E3 SUMO-protein ligase RanBP2	2.09534e+07
P49795	RGS19_HUMAN	RGS19	Regulator of G-protein signaling 19	516888
P49796	RGS3_HUMAN	RGS3	Regulator of G-protein signaling 3	290256
P49815	TSC2_HUMAN	TSC2	Tuberin	2.28208e+06
P49821	NDUV1_HUMAN	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	2.65723e+07
P49840	GSK3A_HUMAN	GSK3A	Glycogen synthase kinase-3 alpha	1.09758e+06
P49841	GSK3B_HUMAN	GSK3B	Glycogen synthase kinase-3 beta	2.75701e+06
P49848	TAF6_HUMAN	TAF6	Transcription initiation factor TFIID subunit 6	772586
P49863	GRAK_HUMAN	GZMK	Granzyme K	4.71332e+06
P49902	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase	4.87166e+06
P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1	4.86922e+06
P49913	CAMP_HUMAN	CAMP	Cathelicidin antimicrobial peptide	1.67171e+07
P49914	MTHFS_HUMAN	MTHFS	5-formyltetrahydrofolate cyclo-ligase	2.03164e+06
P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	1.13695e+07
P49916	DNLI3_HUMAN	LIG3	DNA ligase 3	1.37267e+06
P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11	1.95753e+07
P49961	ENTP1_HUMAN	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	2.12141e+07
P50148	GNAQ_HUMAN	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	3.94283e+06
P50151	GBG10_HUMAN	GNG10	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	3.16006e+06
P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	1.75311e+07
P50225;P50226	ST1A1_HUMAN;ST1A2_HUMAN	SULT1A1;SULT1A2	Sulfotransferase 1A1	1.03171e+06
P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1	1.19079e+08
