Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	1.17416e+08
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	6.0168e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	3.23721e+07
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	2.43223e+07
P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1	8.54929e+06
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	3.16312e+07
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	7.86925e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	6.07989e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	2.79333e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	9.89582e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	1.40631e+07
P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	938038
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	2.81963e+07
P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	3.44662e+08
P34931	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	2.12591e+08
P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	8.77577e+07
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	4.46605e+06
P35052	GPC1_HUMAN	GPC1	Glypican-1	3.7576e+06
P35080	PROF2_HUMAN	PFN2	Profilin-2	6.77751e+07
P35219	CAH8_HUMAN	CA8	Carbonic anhydrase-related protein	2.25537e+07
P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	4.93444e+07
P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	6.09252e+07
P35232	PHB1_HUMAN	PHB1	Prohibitin 1	3.99421e+08
P35237	SPB6_HUMAN	SERPINB6	Serpin B6	4.28425e+07
P35241	RADI_HUMAN	RDX	Radixin	1.01916e+07
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	3.26838e+07
P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	1.34664e+07
P35250	RFC2_HUMAN	RFC2	Replication factor C subunit 2	1.12419e+07
P35251	RFC1_HUMAN	RFC1	Replication factor C subunit 1	4.5751e+06
P35268	RL22_HUMAN	RPL22	Large ribosomal subunit protein eL22	2.97542e+08
P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	1.0616e+07
P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	5.21354e+06
P35442	TSP2_HUMAN	THBS2	Thrombospondin-2	3.34758e+06
P35520	CBS_HUMAN	CBS	Cystathionine beta-synthase	6.87613e+06
P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	1.04598e+08
P35542	SAA4_HUMAN	SAA4	Serum amyloid A-4 protein	6.90933e+06
P35555	FBN1_HUMAN	FBN1	Fibrillin-1	1.74831e+07
P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1.76658e+07
P35579	MYH9_HUMAN	MYH9	Myosin-9	8.60758e+07
P35580	MYH10_HUMAN	MYH10	Myosin-10	4.97727e+07
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	4.59016e+07
P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	4.2772e+06
P35611	ADDA_HUMAN	ADD1	Alpha-adducin	2.82586e+07
P35612	ADDB_HUMAN	ADD2	Beta-adducin	5.55852e+06
P35613	BASI_HUMAN	BSG	Basigin	1.21314e+08
P35626	ARBK2_HUMAN	GRK3	Beta-adrenergic receptor kinase 2	2.70179e+06
P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	2.41918e+08
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	1.41298e+07
P35659	DEK_HUMAN	DEK	Protein DEK	4.0369e+07
P35749	MYH11_HUMAN	MYH11	Myosin-11	4.52573e+06
P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	2.16125e+07
P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	1.16403e+07
P35858	ALS_HUMAN	IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	3.97333e+06
P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	3.92296e+07
P35913	PDE6B_HUMAN	PDE6B	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta	1.36904e+06
P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	2.40785e+07
P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	4.41106e+07
P36222	CH3L1_HUMAN	CHI3L1	Chitinase-3-like protein 1	1.26571e+07
P36269	GGT5_HUMAN	GGT5	Glutathione hydrolase 5 proenzyme	2.45339e+06
P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	1.23442e+07
P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	2.27208e+07
P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	7.87197e+06
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	1.2851e+08
P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	1.07143e+07
P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	6.44156e+06
P36578	RL4_HUMAN	RPL4	Large ribosomal subunit protein uL4	1.82152e+08
P36639	8ODP_HUMAN	NUDT1	Oxidized purine nucleoside triphosphate hydrolase	4.47315e+06
P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	7.7431e+07
P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	7.18503e+07
P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	3.94687e+07
P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	9.37732e+06
P36954	RPB9_HUMAN	POLR2I	DNA-directed RNA polymerase II subunit RPB9	5.52004e+06
P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	2.84668e+07
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1.53212e+08
P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	8.75397e+06
P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	8.53595e+07
P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	1.00626e+07
P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	3.43189e+06
P37268	FDFT_HUMAN	FDFT1	Squalene synthase	429399
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	6.17479e+08
P37837	TALDO_HUMAN	TALDO1	Transaldolase	8.14213e+07
P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	4.24525e+07
P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	2.58882e+08
P38405	GNAL_HUMAN	GNAL	Guanine nucleotide-binding protein G(olf) subunit alpha	2.68258e+06
P38432	COIL_HUMAN	COIL	Coilin	3.03279e+06
P38435	VKGC_HUMAN	GGCX	Vitamin K-dependent gamma-carboxylase	1.06754e+06
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	2.68537e+06
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	5.77516e+07
P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	2.53022e+08
P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	1.35904e+08
P38935	SMBP2_HUMAN	IGHMBP2	DNA-binding protein SMUBP-2	2.05423e+06
P39019	RS19_HUMAN	RPS19	Small ribosomal subunit protein eS19	1.74436e+08
P39023	RL3_HUMAN	RPL3	Large ribosomal subunit protein uL3	2.62114e+08
P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	4.42069e+06
P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	2.79658e+07
P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	8.21389e+07
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.68522e+08
P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	1.79556e+07
P39880	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	7.56838e+06
P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	5.06919e+07
P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	6.36709e+06
P40199	CEAM6_HUMAN	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	1.51851e+07
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	2.75175e+07
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	1.08986e+08
P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	2.29075e+07
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	4.36469e+06
P40424	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1	6.97407e+06
P40425	PBX2_HUMAN	PBX2	Pre-B-cell leukemia transcription factor 2	8.68789e+06
P40429	RL13A_HUMAN	RPL13A	Large ribosomal subunit protein uL13	3.26609e+08
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	1.38189e+07
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	2.15386e+07
P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	3.53346e+06
P40855	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19	3.84651e+06
P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	9.48278e+07
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	3.28022e+08
P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	1.08618e+07
P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	6.47537e+06
P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	8.4335e+07
P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	7.96241e+07
P41162	ETV3_HUMAN	ETV3	ETS translocation variant 3	644634
P41208	CETN2_HUMAN	CETN2	Centrin-2	2.08755e+06
P41212	ETV6_HUMAN	ETV6	Transcription factor ETV6	6.25162e+06
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	3.55139e+06
P41218	MNDA_HUMAN	MNDA	Myeloid cell nuclear differentiation antigen	6.40627e+06
P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	8.78673e+06
P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	1.92554e+06
P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	1.40152e+07
P41229	KDM5C_HUMAN	KDM5C	Lysine-specific demethylase 5C	5.69729e+06
P41236	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	7.0398e+06
P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.00951e+07
P41247	PLPL4_HUMAN	PNPLA4	Patatin-like phospholipase domain-containing protein 4	753425
P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	2.24328e+07
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	4.34313e+07
P41743	KPCI_HUMAN	PRKCI	Protein kinase C iota type	5.2652e+06
P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	1.16461e+07
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	3.26199e+07
P42166	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	1.19271e+08
P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	7.02411e+07
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	1.95718e+07
P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	1.46236e+07
P42330	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	8.47984e+06
P42338	PK3CB_HUMAN	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	432672
P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	9.7571e+06
P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	1.34174e+06
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	5.13752e+06
P42574	CASP3_HUMAN	CASP3	Caspase-3	1.32046e+07
P42575	CASP2_HUMAN	CASP2	Caspase-2	4.92308e+06
P42677	RS27_HUMAN	RPS27	Small ribosomal subunit protein eS27	1.09999e+08
P42684	ABL2_HUMAN	ABL2	Tyrosine-protein kinase ABL2	918628
P42696	RBM34_HUMAN	RBM34	RNA-binding protein 34	2.16586e+07
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	1.92238e+08
P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	4.22418e+07
P42766	RL35_HUMAN	RPL35	Large ribosomal subunit protein uL29	2.52999e+08
P42771	CDN2A_HUMAN	CDKN2A	Cyclin-dependent kinase inhibitor 2A	1.23808e+06
P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	1.63436e+07
P42858	HD_HUMAN	HTT	Huntingtin	4.44756e+06
P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	4.59438e+06
P42898	MTHR_HUMAN	MTHFR	Methylenetetrahydrofolate reductase (NADPH)	1.84989e+06
P43007	SATT_HUMAN	SLC1A4	Neutral amino acid transporter A	1.07242e+06
P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	3.1647e+07
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	9.67534e+06
P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	3.58213e+06
P43243	MATR3_HUMAN	MATR3	Matrin-3	9.47318e+07
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	2.38128e+07
P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	2.99526e+07
P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	3.64676e+07
P43355	MAGA1_HUMAN	MAGEA1	Melanoma-associated antigen 1	6.00196e+06
P43378	PTN9_HUMAN	PTPN9	Tyrosine-protein phosphatase non-receptor type 9	1.31718e+06
P43405	KSYK_HUMAN	SYK	Tyrosine-protein kinase SYK	1.56767e+06
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	4.64952e+07
P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	3.77736e+07
P43652	AFAM_HUMAN	AFM	Afamin	4.05572e+06
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	3.12935e+07
P43897	EFTS_HUMAN	TSFM	Elongation factor Ts, mitochondrial	4.0343e+07
P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	1.3162e+06
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	2.68264e+08
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	2.2582e+07
P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5	1.63273e+07
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	5.0988e+07
P45983	MK08_HUMAN	MAPK8	Mitogen-activated protein kinase 8	6.56593e+06
P45984	MK09_HUMAN	MAPK9	Mitogen-activated protein kinase 9	1.81156e+06
P45985	MP2K4_HUMAN	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4	5.92094e+06
P46013	KI67_HUMAN	MKI67	Proliferation marker protein Ki-67	1.54078e+07
P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	2.11405e+07
P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	1.89114e+07
P46087	NOP2_HUMAN	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	3.89166e+07
P46100	ATRX_HUMAN	ATRX	Transcriptional regulator ATRX	3.21782e+06
P46108	CRK_HUMAN	CRK	Adapter molecule crk	1.81612e+07
P46109	CRKL_HUMAN	CRKL	Crk-like protein	2.9568e+07
P46199	IF2M_HUMAN	MTIF2	Translation initiation factor IF-2, mitochondrial	1.33898e+07
P46379	BAG6_HUMAN	BAG6	Large proline-rich protein BAG6	2.1076e+07
P46459	NSF_HUMAN	NSF	Vesicle-fusing ATPase	3.05305e+07
P46527	CDN1B_HUMAN	CDKN1B	Cyclin-dependent kinase inhibitor 1B	3.71247e+06
P46734	MP2K3_HUMAN	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3	721198
P46736	BRCC3_HUMAN	BRCC3	Lys-63-specific deubiquitinase BRCC36	8.35636e+06
P46776	RL27A_HUMAN	RPL27A	Large ribosomal subunit protein uL15	3.63799e+08
P46777	RL5_HUMAN	RPL5	Large ribosomal subunit protein uL18	1.14547e+08
P46778	RL21_HUMAN	RPL21	Large ribosomal subunit protein eL21	2.30299e+08
P46779	RL28_HUMAN	RPL28	Large ribosomal subunit protein eL28	5.63611e+07
P46781	RS9_HUMAN	RPS9	Small ribosomal subunit protein uS4	3.47968e+08
P46782	RS5_HUMAN	RPS5	Small ribosomal subunit protein uS7	7.30974e+07
P46783	RS10_HUMAN	RPS10	Small ribosomal subunit protein eS10	1.70927e+08
P46821	MAP1B_HUMAN	MAP1B	Microtubule-associated protein 1B	1.6363e+07
P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1	2.21576e+07
P46937	YAP1_HUMAN	YAP1	Transcriptional coactivator YAP1	1.58527e+07
P46939	UTRN_HUMAN	UTRN	Utrophin	4.33153e+07
P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1	3.77827e+07
P46976	GLYG_HUMAN	GYG1	Glycogenin-1	3.70392e+07
P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	2.96539e+07
P47224	MSS4_HUMAN	RABIF	Guanine nucleotide exchange factor MSS4	9.8899e+06
P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2	1.25659e+08
P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta	4.64845e+07
P47813	IF1AX_HUMAN	EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal	2.17454e+07
P47895	AL1A3_HUMAN	ALDH1A3	Retinaldehyde dehydrogenase 3	4.85833e+06
P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase	3.80122e+07
P47914	RL29_HUMAN	RPL29	Large ribosomal subunit protein eL29	1.71212e+08
P47985	UCRI_HUMAN	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	7.206e+06
P48047	ATPO_HUMAN	ATP5PO	ATP synthase subunit O, mitochondrial	1.24108e+08
P48059	LIMS1_HUMAN	LIMS1	LIM and senescent cell antigen-like-containing domain protein 1	4.22554e+06
P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	2.0006e+07
P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	6.21616e+06
P48380	RFX3_HUMAN	RFX3	Transcription factor RFX3	4.62849e+06
P48382	RFX5_HUMAN	RFX5	DNA-binding protein RFX5	501433
P48426	PI42A_HUMAN	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	2.89356e+06
P48436	SOX9_HUMAN	SOX9	Transcription factor SOX-9	1.62457e+06
P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	3.05704e+07
P48449	LSS_HUMAN	LSS	Lanosterol synthase	6.16091e+06
P48506	GSH1_HUMAN	GCLC	Glutamate--cysteine ligase catalytic subunit	6.27092e+06
P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit	1.21721e+07
P48539	PCP4_HUMAN	PCP4	Calmodulin regulator protein PCP4	4.63146e+06
P48553	TPC10_HUMAN	TRAPPC10	Trafficking protein particle complex subunit 10	982339
P48556	PSMD8_HUMAN	PSMD8	26S proteasome non-ATPase regulatory subunit 8	2.65164e+07
P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A	1.48298e+07
P48637	GSHB_HUMAN	GSS	Glutathione synthetase	4.62917e+07
P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	1.61339e+08
P48651	PTSS1_HUMAN	PTDSS1	Phosphatidylserine synthase 1	4.94949e+06
P48681	NEST_HUMAN	NES	Nestin	2.74857e+07
P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	3.46507e+06
P48729	KC1A_HUMAN	CSNK1A1	Casein kinase I isoform alpha	1.22568e+07
P48730	KC1D_HUMAN	CSNK1D	Casein kinase I isoform delta	4.97764e+06
P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial	9.65716e+07
P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	8.32537e+06
P48960	AGRE5_HUMAN	ADGRE5	Adhesion G protein-coupled receptor E5	4.11232e+06
P49005	DPOD2_HUMAN	POLD2	DNA polymerase delta subunit 2	6.19417e+06
P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein	6.32381e+07
P49023	PAXI_HUMAN	PXN	Paxillin	3.92619e+06
P49116	NR2C2_HUMAN	NR2C2	Nuclear receptor subfamily 2 group C member 2	1.67762e+06
P49137	MAPK2_HUMAN	MAPKAPK2	MAP kinase-activated protein kinase 2	9.57649e+06
P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	4.67047e+07
P49207	RL34_HUMAN	RPL34	Large ribosomal subunit protein eL34	2.6127e+08
P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase	1.2216e+07
P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	1.09886e+08
P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein	9.64461e+07
P49327	FAS_HUMAN	FASN	Fatty acid synthase	7.45551e+07
P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1.07123e+07
P49356	FNTB_HUMAN	FNTB	Protein farnesyltransferase subunit beta	2.59724e+06
P49366	DHYS_HUMAN	DHPS	Deoxyhypusine synthase	5.53374e+06
P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	1.28298e+08
P49406	RM19_HUMAN	MRPL19	Large ribosomal subunit protein bL19m	2.48787e+07
P49407	ARRB1_HUMAN	ARRB1	Beta-arrestin-1	1.28317e+07
P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	3.03357e+08
P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase	9.4579e+07
P49427	UB2R1_HUMAN	CDC34	Ubiquitin-conjugating enzyme E2 R1	1.73423e+06
P49448	DHE4_HUMAN	GLUD2	Glutamate dehydrogenase 2, mitochondrial	1.14484e+06
P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein	6.89976e+07
P49459	UBE2A_HUMAN	UBE2A	Ubiquitin-conjugating enzyme E2 A	2.32906e+06
P49585	PCY1A_HUMAN	PCYT1A	Choline-phosphate cytidylyltransferase A	1.64245e+07
P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	5.10208e+07
P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	9.93928e+06
P49590	SYHM_HUMAN	HARS2	Histidine--tRNA ligase, mitochondrial	1.45653e+07
P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	1.92895e+07
P49593	PPM1F_HUMAN	PPM1F	Protein phosphatase 1F	6.46514e+06
P49641	MA2A2_HUMAN	MAN2A2	Alpha-mannosidase 2x	714562
P49642	PRI1_HUMAN	PRIM1	DNA primase small subunit	916087
P49643	PRI2_HUMAN	PRIM2	DNA primase large subunit	1.80956e+06
P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	2.40265e+07
P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	3.4504e+07
P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2	2.66816e+07
P49746	TSP3_HUMAN	THBS3	Thrombospondin-3	1.06136e+06
P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	5.37233e+07
P49750	YLPM1_HUMAN	YLPM1	YLP motif-containing protein 1	1.36489e+07
P49755	TMEDA_HUMAN	TMED10	Transmembrane emp24 domain-containing protein 10	4.62708e+07
P49756	RBM25_HUMAN	RBM25	RNA-binding protein 25	5.05169e+07
P49757	NUMB_HUMAN	NUMB	Protein numb homolog	1.27403e+06
P49759	CLK1_HUMAN	CLK1	Dual specificity protein kinase CLK1	1.29768e+06
P49760	CLK2_HUMAN	CLK2	Dual specificity protein kinase CLK2	2.50425e+06
P49761	CLK3_HUMAN	CLK3	Dual specificity protein kinase CLK3	5.11276e+06
P49770	EI2BB_HUMAN	EIF2B2	Translation initiation factor eIF-2B subunit beta	8.89296e+06
P49773	HINT1_HUMAN	HINT1	Adenosine 5'-monophosphoramidase HINT1	9.82478e+07
P49788	TIG1_HUMAN	RARRES1	Retinoic acid receptor responder protein 1	9.14791e+06
P49789	FHIT_HUMAN	FHIT	Bis(5'-adenosyl)-triphosphatase	5.49595e+06
P49790	NU153_HUMAN	NUP153	Nuclear pore complex protein Nup153	9.36582e+06
P49792	RBP2_HUMAN	RANBP2	E3 SUMO-protein ligase RanBP2	3.18541e+07
P49815	TSC2_HUMAN	TSC2	Tuberin	1.15578e+07
P49821	NDUV1_HUMAN	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	3.22554e+07
P49840	GSK3A_HUMAN	GSK3A	Glycogen synthase kinase-3 alpha	2.84981e+06
P49841	GSK3B_HUMAN	GSK3B	Glycogen synthase kinase-3 beta	7.01948e+06
P49842	STK19_HUMAN	STK19	Inactive serine/threonine-protein kinase 19	628876
P49848	TAF6_HUMAN	TAF6	Transcription initiation factor TFIID subunit 6	2.23988e+06
P49902	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase	1.26232e+07
P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1	2.30892e+07
P49913	CAMP_HUMAN	CAMP	Cathelicidin antimicrobial peptide	1.06733e+06
P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	3.39434e+07
P49916	DNLI3_HUMAN	LIG3	DNA ligase 3	2.36688e+07
P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11	1.3487e+07
P49961	ENTP1_HUMAN	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	4.74714e+06
P50148	GNAQ_HUMAN	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	1.83877e+06
