Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML
P31116	DHOM_YEAST	HOM6	Homoserine dehydrogenase	8.07046e+07
P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	4.74016e+06
P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	3.7299e+08
P31161	SODM1_CAEEL	sod-2	Superoxide dismutase [Mn] 1, mitochondrial	2.06922e+07
P31260	HXA10_HUMAN	HOXA10	Homeobox protein Hox-A10	1.14173e+06
P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	1.32282e+06
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	4.2574e+08
P31350	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	6.7945e+06
P31373	CYS3_YEAST	CYS3	Cystathionine gamma-lyase	9.6925e+07
P31374	PSK1_YEAST	PSK1	Serine/threonine-protein kinase PSK1	1.35996e+06
P31382	PMT2_YEAST	PMT2	Dolichyl-phosphate-mannose--protein mannosyltransferase 2	1.47411e+07
P31383	2AAA_YEAST	TPD3	Protein phosphatase PP2A regulatory subunit A	6.79152e+06
P31384	CCR4_YEAST	CCR4	Glucose-repressible alcohol dehydrogenase transcriptional effector	1.13013e+06
P31412	VATC_YEAST	VMA5	V-type proton ATPase subunit C	1.98427e+07
P31431	SDC4_HUMAN	SDC4	Syndecan-4	7.91142e+06
P31483	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	4.97764e+06
P31539	HS104_YEAST	HSP104	Heat shock protein 104	6.25523e+07
P31688	TPS2_YEAST	TPS2	Trehalose-phosphatase	2.42793e+07
P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	4.60342e+07
P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	2.79994e+06
P31755	OCH1_YEAST	OCH1	Initiation-specific alpha-1,6-mannosyltransferase	4.37453e+06
P31787	ACBP_YEAST	ACB1	Acyl-CoA-binding protein	1.32404e+08
P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	7.33725e+07
P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	8.19517e+06
P31939	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein ATIC	5.80235e+07
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	6.17543e+07
P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	2.78337e+08
P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	1.83626e+08
P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	1.18905e+08
P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	1.38935e+08
P31949	S10AB_HUMAN	S100A11	Protein S100-A11	8.78415e+08
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1.68251e+07
P32074	COPG_YEAST	SEC21	Coatomer subunit gamma	7.17521e+06
P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	1.94889e+08
P32178	CHMU_YEAST	ARO7	Chorismate mutase	6.68711e+06
P32179	MET22_YEAST	MET22	3'(2'),5'-bisphosphate nucleotidase	1.10667e+07
P32189;Q14409	GLPK3_HUMAN;GLPK_HUMAN	GK;GK3P	Glycerol kinase	1.20484e+06
P32190	GLPK_YEAST	GUT1	Glycerol kinase	2.01218e+06
P32191	GPDM_YEAST	GUT2	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.16274e+07
P32263	P5CR_YEAST	PRO3	Pyrroline-5-carboxylate reductase	2.69955e+07
P32264	PROB_YEAST	PRO1	Glutamate 5-kinase	1.48941e+06
P32288	GLNA_YEAST	GLN1	Glutamine synthetase	2.1086e+07
P32316	ACH1_YEAST	ACH1	Acetyl-CoA hydrolase	1.41022e+07
P32319	VPS10_YEAST	PEP1	Vacuolar protein sorting/targeting protein VPS10	4.23773e+06
P32320	CDD_HUMAN	CDA	Cytidine deaminase	1.65741e+07
P32321	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	6.4929e+06
P32322	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	2.54326e+07
P32324	EF2_YEAST	EFT1	Elongation factor 2	2.11704e+08
P32327	PYC2_YEAST	PYC2	Pyruvate carboxylase 2	6.04207e+07
P32329	YPS1_YEAST	YPS1	Aspartic proteinase 3	6.74063e+06
P32331	YMC1_YEAST	YMC1	Mitochondrial glycine transporter YMC1	1.06889e+06
P32332	OAC1_YEAST	OAC1	Mitochondrial oxaloacetate transport protein	8.54224e+06
P32335	MSS51_YEAST	MSS51	Protein MSS51, mitochondrial	4.24258e+06
P32337	IMB3_YEAST	PSE1	Importin subunit beta-3	1.50701e+06
P32340	NDI1_YEAST	NDI1	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	9.04311e+06
P32347	DCUP_YEAST	HEM12	Uroporphyrinogen decarboxylase	1.39322e+06
P32351	IMPX_YEAST	IMP2'	Sugar utilization regulatory protein IMP2	3.05374e+06
P32352	ERG2_YEAST	ERG2	C-8 sterol isomerase	1.37533e+07
P32353	ERG3_YEAST	ERG3	Delta(7)-sterol 5(6)-desaturase	1.38646e+07
P32356	TREA_YEAST	NTH1	Neutral trehalase	1.1978e+07
P32366	VA0D_YEAST	VMA6	V-type proton ATPase subunit d	1.26042e+07
P32368	SAC1_YEAST	SAC1	Phosphatidylinositol-3-phosphatase SAC1	4.1198e+06
P32377	MVD1_YEAST	MVD1	Diphosphomevalonate decarboxylase	2.36244e+07
P32379	PSA5_YEAST	PUP2	Proteasome subunit alpha type-5	1.78739e+07
P32381	ARP2_YEAST	ARP2	Actin-related protein 2	1.56879e+07
P32386	YBT1_YEAST	YBT1	ATP-dependent bile acid permease	1.54087e+06
P32388	RM49_YEAST	MRP49	54S ribosomal protein MRP49, mitochondrial	1.09394e+06
P32419	MDHP_YEAST	MDH3	Malate dehydrogenase, peroxisomal	3.1894e+07
P32445	RIM1_YEAST	RIM1	Single-stranded DNA-binding protein RIM1, mitochondrial	4.71336e+07
P32447	ASF1_YEAST	ASF1	Histone chaperone ASF1	6.14492e+06
P32449	AROG_YEAST	ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	4.12916e+07
P32451	BIOB_YEAST	BIO2	Biotin synthase, mitochondrial	1.45393e+07
P32452	PHA2_YEAST	PHA2	Putative prephenate dehydratase	2.30884e+06
P32453	ATP11_YEAST	ATP11	Protein ATP11, mitochondrial	2.10249e+06
P32454	APE2_YEAST	APE2	Aminopeptidase 2, mitochondrial	1.17964e+07
P32457	CDC3_YEAST	CDC3	Cell division control protein 3	8.88348e+06
P32458	CDC11_YEAST	CDC11	Cell division control protein 11	3.77169e+06
P32463	ACPM_YEAST	ACP1	Acyl carrier protein, mitochondrial	1.13239e+07
P32466	HXT3_YEAST	HXT3	Low-affinity glucose transporter HXT3	6.68115e+06
P32467	HXT4_YEAST	HXT4	Low-affinity glucose transporter HXT4	3.09305e+06
P32468	CDC12_YEAST	CDC12	Cell division control protein 12	5.55224e+06
P32469	DPH5_YEAST	DPH5	Diphthine methyl ester synthase	1.11961e+07
P32471	EF1B_YEAST	EFB1	Elongation factor 1-beta	1.89707e+08
P32472	FKBP2_YEAST	FPR2	Peptidyl-prolyl cis-trans isomerase FPR2	1.07718e+07
P32473	ODPB_YEAST	PDB1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	4.00847e+07
P32474	EUG1_YEAST	EUG1	Protein disulfide-isomerase EUG1	1.59925e+06
P32476	ERG1_YEAST	ERG1	Squalene monooxygenase	3.98107e+06
P32477	GSH1_YEAST	GSH1	Glutamate--cysteine ligase	3.69843e+06
P32478	HS150_YEAST	HSP150	Cell wall mannoprotein HSP150	2.30466e+07
P32481	IF2G_YEAST	GCD11	Eukaryotic translation initiation factor 2 subunit gamma	3.91344e+07
P32485	HOG1_YEAST	HOG1	Mitogen-activated protein kinase HOG1	5.98587e+06
P32495	NHP2_YEAST	NHP2	H/ACA ribonucleoprotein complex subunit NHP2	1.36828e+07
P32496	RPN12_YEAST	RPN12	26S proteasome regulatory subunit RPN12	1.13423e+07
P32497	EIF3C_YEAST	NIP1	Eukaryotic translation initiation factor 3 subunit C	8.10392e+06
P32499	NUP2_YEAST	NUP2	Nucleoporin NUP2	7.26044e+06
P32501	EI2BE_YEAST	GCD6	Translation initiation factor eIF-2B subunit epsilon	1.00636e+06
P32502	EI2BB_YEAST	GCD7	Translation initiation factor eIF-2B subunit beta	130079
P32505	NAB2_YEAST	NAB2	Nuclear polyadenylated RNA-binding protein NAB2	5.17581e+06
P32521	PAN1_YEAST	PAN1	Actin cytoskeleton-regulatory complex protein PAN1	6.21305e+06
P32523	PRP19_YEAST	PRP19	Pre-mRNA-processing factor 19	1.95557e+06
P32527	ZUO1_YEAST	ZUO1	Zuotin	3.24642e+07
P32529	RPA12_YEAST	RPA12	DNA-directed RNA polymerase I subunit RPA12	3.65386e+06
P32558	SPT16_YEAST	SPT16	FACT complex subunit SPT16	6.66231e+06
P32561	RPD3_YEAST	RPD3	Histone deacetylase RPD3	2.23064e+06
P32563	VPH1_YEAST	VPH1	V-type proton ATPase subunit a, vacuolar isoform	6.78352e+06
P32565	RPN2_YEAST	RPN2	26S proteasome regulatory subunit RPN2	1.08728e+07
P32566	SMI1_YEAST	SMI1	Cell wall assembly regulator SMI1	2.54675e+06
P32569	MED17_YEAST	SRB4	Mediator of RNA polymerase II transcription subunit 17	395880
P32579	SUA5_YEAST	SUA5	Threonylcarbamoyl-AMP synthase	912982
P32582	CBS_YEAST	CYS4	Cystathionine beta-synthase	5.43011e+07
P32583	SRP40_YEAST	SRP40	Suppressor protein SRP40	3.24422e+06
P32588	PUB1_YEAST	PUB1	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	2.95394e+07
P32589	HSP7F_YEAST	SSE1	Heat shock protein homolog SSE1	6.25586e+07
P32590	HSP79_YEAST	SSE2	Heat shock protein homolog SSE2	1.58134e+07
P32591	SWI3_YEAST	SWI3	SWI/SNF complex subunit SWI3	977335
P32598	PP12_YEAST	GLC7	Serine/threonine-protein phosphatase PP1-2	6.51387e+07
P32599	FIMB_YEAST	SAC6	Fimbrin	2.99456e+07
P32602	SEC17_YEAST	SEC17	Alpha-soluble NSF attachment protein	9.4814e+06
P32604	F26_YEAST	FBP26	Fructose-2,6-bisphosphatase	2.28305e+06
P32608	RTG2_YEAST	RTG2	Retrograde regulation protein 2	4.46718e+06
P32610	VATD_YEAST	VMA8	V-type proton ATPase subunit D	1.35e+07
P32611	RML2_YEAST	RML2	54S ribosomal protein RML2, mitochondrial	2.00112e+06
P32614	FRDS_YEAST	FRD1	Fumarate reductase 1	2.0194e+07
P32621	GDA1_YEAST	GDA1	Guanosine-diphosphatase	1.09203e+06
P32628	RAD23_YEAST	RAD23	UV excision repair protein RAD23	1.09126e+07
P32629	ANP1_YEAST	ANP1	Mannan polymerase II complex ANP1 subunit	1.5718e+06
P32643	TMT1_YEAST	TMT1	Trans-aconitate 3-methyltransferase	2.25373e+07
P32656	CHAC_YEAST	GCG1	Glutathione-specific gamma-glutamylcyclotransferase	2.71026e+06
P32657	CHD1_YEAST	CHD1	Chromo domain-containing protein 1	699169
P32769	HBS1_YEAST	HBS1	Elongation factor 1 alpha-like protein	2.99698e+06
P32771	FADH_YEAST	SFA1	S-(hydroxymethyl)glutathione dehydrogenase	5.27111e+07
P32774	T2AG_YEAST	TOA2	Transcription initiation factor IIA subunit 2	4.38312e+06
P32775	GLGB_YEAST	GLC3	1,4-alpha-glucan-branching enzyme	7.74362e+06
P32780	TF2H1_HUMAN	GTF2H1	General transcription factor IIH subunit 1	3.26004e+06
P32787	MG101_YEAST	MGM101	Mitochondrial genome maintenance protein MGM101	1.69687e+07
P32790	SLA1_YEAST	SLA1	Actin cytoskeleton-regulatory complex protein SLA1	5.14813e+06
P32793	YSC84_YEAST	YSC84	Protein YSC84	2.31914e+06
P32794	AFG2_YEAST	AFG2	ATPase family gene 2 protein	2.71619e+06
P32795	YME1_YEAST	YME1	Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1	2.78495e+06
P32796	CACP_YEAST	CAT2	Carnitine O-acetyltransferase, mitochondrial	2.41486e+06
P32799	COX13_YEAST	COX13	Cytochrome c oxidase subunit 13, mitochondrial	3.11944e+07
P32803	EMP24_YEAST	EMP24	Endosomal protein P24B	6.99389e+06
P32831	NGR1_YEAST	NGR1	Negative growth regulatory protein NGR1	1.45458e+06
P32832	RSC7_YEAST	NPL6	Chromatin structure-remodeling complex subunit RSC7	1.84979e+06
P32835;P32836	GSP1_YEAST;GSP2_YEAST	GSP1;GSP2	GTP-binding nuclear protein GSP1/CNR1	4.64643e+07
P32843	YME2_YEAST	YME2	Mitochondrial escape protein 2	2.65995e+06
P32857	PTM1_YEAST	PTM1	Membrane protein PTM1	2.23572e+06
P32860	NFU1_YEAST	NFU1	NifU-like protein, mitochondrial	2.54056e+06
P32861	UGPA1_YEAST	UGP1	UTP--glucose-1-phosphate uridylyltransferase	5.27962e+07
P32864	RAEP_YEAST	MRS6	Rab proteins geranylgeranyltransferase component A	845222
P32867	SSO1_YEAST	SSO1	Protein SSO1	5.39367e+06
P32875	LIPA_YEAST	LIP5	Lipoyl synthase, mitochondrial	336435
P32891	DLD1_YEAST	DLD1	D-lactate dehydrogenase [cytochrome] 1, mitochondrial	2.80923e+07
P32895	KPR1_YEAST	PRS1	Ribose-phosphate pyrophosphokinase 1	5.16569e+06
P32897	TIM23_YEAST	TIM23	Mitochondrial import inner membrane translocase subunit TIM23	2.40584e+06
P32898	CYM1_YEAST	CYM1	Mitochondrial presequence protease	1.12802e+06
P32902	RT04_YEAST	MRP4	37S ribosomal protein MRP4, mitochondrial	2.56999e+06
P32904	RM06_YEAST	MRPL6	54S ribosomal protein L6, mitochondrial	2.75667e+06
P32911	SUI1_YEAST	SUI1	Eukaryotic translation initiation factor eIF-1	2.97141e+07
P32913	VPS17_YEAST	VPS17	Vacuolar protein sorting-associated protein 17	239623
P32914	SPT4_YEAST	SPT4	Transcription elongation factor SPT4	1.65309e+06
P32915	SC61A_YEAST	SEC61	Protein transport protein SEC61	5.2989e+06
P32916	SRPR_YEAST	SRP101	Signal recognition particle receptor subunit alpha homolog	1.64204e+06
P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	2.52766e+07
P32939	YPT7_YEAST	YPT7	GTP-binding protein YPT7	6.67134e+06
P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	1.55833e+08
P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	1.18021e+06
P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	1.60966e+07
P33201	MRT4_YEAST	MRT4	Ribosome assembly factor MRT4	4.89727e+06
P33202	UFD4_YEAST	UFD4	Ubiquitin fusion degradation protein 4	708483
P33204	ARPC4_YEAST	ARC19	Actin-related protein 2/3 complex subunit 4	8.83022e+06
P33240	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	1.91741e+07
P33297	PRS6A_YEAST	RPT5	26S proteasome regulatory subunit 6A	3.9353e+07
P33298	PRS6B_YEAST	RPT3	26S proteasome regulatory subunit 6B homolog	1.08121e+07
P33299	PRS7_YEAST	RPT1	26S proteasome regulatory subunit 7 homolog	1.1482e+07
P33313	CNS1_YEAST	CNS1	Hsp70/Hsp90 co-chaperone CNS1	3.31597e+06
P33315	TKT2_YEAST	TKL2	Transketolase 2	4.69124e+07
P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.15701e+08
P33317	DUT_YEAST	DUT1	Deoxyuridine 5'-triphosphate nucleotidohydrolase	4.95528e+06
P33322	CBF5_YEAST	CBF5	H/ACA ribonucleoprotein complex subunit CBF5	7.83548e+06
P33324	YKJ1_YEAST	YKL091C	CRAL-TRIO domain-containing protein YKL091C	2.91118e+06
P33327	DHE2_YEAST	GDH2	NAD-specific glutamate dehydrogenase	3.86173e+06
P33328	SNC2_YEAST	SNC2	Synaptobrevin homolog 2	3.98781e+06
P33330	SERC_YEAST	SER1	Phosphoserine aminotransferase	9.54935e+06
P33331	NTF2_YEAST	NTF2	Nuclear transport factor 2	5.67628e+07
P33333	PLSC_YEAST	SLC1	Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase	2.97218e+06
P33338	SLA2_YEAST	SLA2	Protein SLA2	7.53801e+06
P33399	LHP1_YEAST	LHP1	La protein homolog	4.57372e+06
P33401	PGM1_YEAST	PGM1	Phosphoglucomutase 1	2.36986e+06
P33411	PRP18_YEAST	PRP18	Pre-mRNA-splicing factor 18	198239
P33416	HSP78_YEAST	HSP78	Heat shock protein 78, mitochondrial	2.39748e+07
P33442	RS3A1_YEAST	RPS1A	40S ribosomal protein S1-A	4.19382e+07
P33527	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	1.9387e+07
P33552	CKS2_HUMAN	CKS2	Cyclin-dependent kinases regulatory subunit 2	3.92723e+06
P33734	HIS5_YEAST	HIS7	Imidazole glycerol phosphate synthase hisHF	7.7727e+06
P33754	SEC66_YEAST	SEC66	Translocation protein SEC66	1.14159e+06
P33755	NPL4_YEAST	NPL4	Nuclear protein localization protein 4	1.97136e+06
P33767	OSTB_YEAST	WBP1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1	4.611e+06
P33775	PMT1_YEAST	PMT1	Dolichyl-phosphate-mannose--protein mannosyltransferase 1	7.81447e+06
P33892	GCN1_YEAST	GCN1	eIF-2-alpha kinase activator GCN1	8.35714e+06
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	3.83144e+06
P33981	TTK_HUMAN	TTK	Dual specificity protein kinase TTK	1.77103e+06
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	3.25538e+07
P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	2.50334e+07
P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	2.545e+07
P34087	RPB7_YEAST	RPB7	DNA-directed RNA polymerase II subunit RPB7	1.84106e+06
P34110	VPS35_YEAST	VPS35	Vacuolar protein sorting-associated protein 35	1.36056e+06
P34160	NCBP1_YEAST	STO1	Nuclear cap-binding protein complex subunit 1	2.05599e+06
P34163	TGL1_YEAST	TGL1	Sterol esterase TGL1	1.593e+06
P34167	IF4B_YEAST	TIF3	Eukaryotic translation initiation factor 4B	2.95448e+07
P34183	SYH_CAEEL	hars-1	Histidine--tRNA ligase	5.72229e+06
P34216	EDE1_YEAST	EDE1	EH domain-containing and endocytosis protein 1	8.11653e+06
P34221	PP2C3_YEAST	PTC3	Protein phosphatase 2C homolog 3	5.27896e+06
P34222	PTH2_YEAST	PTH2	Peptidyl-tRNA hydrolase 2	2.38242e+06
P34223	UBX1_YEAST	SHP1	UBX domain-containing protein 1	7.18631e+06
P34227	PRX1_YEAST	PRX1	Peroxiredoxin PRX1, mitochondrial	5.11125e+07
P34232	MTR2_YEAST	MTR2	mRNA transport regulator MTR2	1.78058e+06
P34237	CASP_YEAST	COY1	Protein CASP	963746
P34240	ZRT3_YEAST	ZRT3	Zinc-regulated transporter 3	573498
P34253	KTI12_YEAST	KTI12	Protein KTI12	1.22144e+06
P34255	ECHH_CAEEL	B0303.3	Probable 3-ketoacyl-CoA thiolase	1.59815e+07
P34274	TIPRL_CAEEL	C02C2.6	TIP41-like protein	321592
P34280	YKK3_CAEEL	C02F5.3	Uncharacterized GTP-binding protein C02F5.3	2.25448e+06
P34286	PSB1_CAEEL	pbs-6	Proteasome subunit beta type-1	1.54495e+07
P34308	CAN_CAEEL	clp-1	Calpain clp-1	5.47275e+06
P34325	CYK7_CAEEL	cyk-7	Cytokinesis defective protein 7	1.21972e+06
P34328	HSP10_CAEEL	hsp-12.2	Heat shock protein Hsp-12.2	8.44567e+07
P34329	PDIA4_CAEEL	C14B9.2	Probable protein disulfide-isomerase A4	2.27624e+07
P34334	RL21_CAEEL	rpl-21	60S ribosomal protein L21	1.48455e+08
P34339	EIF3A_CAEEL	egl-45	Eukaryotic translation initiation factor 3 subunit A	1.52603e+07
P34340	COL90_CAEEL	col-90	Putative cuticle collagen 90	4.61094e+06
P34342	RGP2_CAEEL	ran-2	Ran GTPase-activating protein 2	2.28469e+06
P34343	NU133_CAEEL	npp-15	Nuclear pore complex protein 15	490468
P34345	GSTO1_CAEEL	gsto-1	Glutathione transferase omega-1	1.96651e+07
P34346	KAD2_CAEEL	let-754	Adenylate kinase	2.74628e+07
P34355	ACX15_CAEEL	acox-1.5	Probable peroxisomal acyl-coenzyme A oxidase 1.5	4.42966e+06
P34358	CED7_CAEEL	ced-7	ABC transporter ced-7	8.43875e+06
P34369	PRP8_CAEEL	prp-8	Pre-mRNA-splicing factor 8 homolog	5.03705e+06
P34382	FAR1_CAEEL	far-1	Fatty-acid and retinol-binding protein 1	2.46254e+07
P34383	FAR2_CAEEL	far-2	Fatty-acid and retinol-binding protein 2	2.20928e+06
P34384	RM44_CAEEL	mrpl-44	Ribosomal protein L44, mitochondrial	4.1037e+06
P34385	MCCB_CAEEL	F02A9.10	Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	9.94228e+06
P34388	RT09_CAEEL	mrps-9	Probable 40S ribosomal protein S9, mitochondrial	2.28126e+06
P34415	YLZ2_CAEEL	F42H10.2	Uncharacterized protein F42H10.2	567502
P34438	YL58_CAEEL	F44E2.8	Uncharacterized protein F44E2.8	2.43803e+06
P34445	YL87_CAEEL	F54C8.7	Uncharacterized protein F54C8.7	2.62369e+06
P34446	PAT2_CAEEL	pat-2	Integrin alpha pat-2	6.37122e+06
P34453	PEX19_CAEEL	prx-19	Putative peroxisomal biogenesis factor 19	2.65807e+06
P34455	ACON_CAEEL	aco-2	Probable aconitate hydratase, mitochondrial	5.49939e+07
P34460	EF1B1_CAEEL	eef-1B.1	Probable elongation factor 1-beta/1-delta 1	6.76046e+07
P34461	SODE_CAEEL	sod-4	Extracellular superoxide dismutase [Cu-Zn]	1.68367e+06
P34462	VATD_CAEEL	vha-14	V-type proton ATPase subunit D	2.18133e+07
P34466	CLU_CAEEL	clu-1	Clustered mitochondria protein homolog	1.49036e+07
P34476	RPAC2_CAEEL	rpac-19	Probable DNA-directed RNA polymerases I and III subunit RPAC2	2.48646e+06
P34477	UBC7_CAEEL	ubc-7	Probable ubiquitin-conjugating enzyme E2 7	5.97592e+06
P34492	YMQ1_CAEEL	K02D10.1	Putative NipSnap protein K02D10.1	2.56321e+06
P34496	MTSS1_CAEEL	mtss-1	Single-stranded DNA-binding protein, mitochondrial	2.72516e+07
P34500	TTR2_CAEEL	ttr-2	Transthyretin-like protein 2	2.9032e+07
P34504	YMV2_CAEEL	K04H4.2	Uncharacterized protein K04H4.2	1.89064e+06
P34517	GPDH2_CAEEL	gpdh-2	Probable glycerol-3-phosphate dehydrogenase 2	1.17209e+07
P34519	TXTP_CAEEL	K11H3.3	Putative tricarboxylate transport protein, mitochondrial	2.46471e+06
P34524	BRX1_CAEEL	K12H4.3	Ribosome biogenesis protein BRX1 homolog	1.83081e+06
P34525	SPCS3_CAEEL	spcs-3	Probable signal peptidase complex subunit 3	2.99429e+06
P34526	YM65_CAEEL	K12H4.5	Uncharacterized protein K12H4.5	9.00048e+06
P34528	YM67_CAEEL	K12H4.7	Putative serine protease K12H4.7	8.17579e+06
P34539	ATP5E_CAEEL	R05D3.6	Putative ATP synthase subunit epsilon, mitochondrial	7.0287e+07
P34540	KINH_CAEEL	unc-116	Kinesin heavy chain	4.62185e+06
P34542	YNC9_CAEEL	R05D3.9/R05D3.10	Uncharacterized protein R05D3.9	1.18429e+06
P34552	ALXA_CAEEL	alx-1	Apoptosis-linked gene 2-interacting protein X 1	5.35066e+06
P34556	CDK1_CAEEL	cdk-1	Cyclin-dependent kinase 1	1.04639e+06
P34559	ECHM_CAEEL	ech-6	Probable enoyl-CoA hydratase, mitochondrial	8.7884e+07
P34560	RMD1_CAEEL	rmd-1	Regulator of microtubule dynamics protein 1	853659
P34563	IF5A1_CAEEL	iff-1	Eukaryotic translation initiation factor 5A-1	4.50578e+08
P34574	CLH_CAEEL	chc-1	Probable clathrin heavy chain 1	8.5564e+06
P34575	CISY_CAEEL	cts-1	Probable citrate synthase, mitochondrial	8.06802e+07
P34576	MUA3_CAEEL	mua-3	Transmembrane cell adhesion receptor mua-3	1.08597e+06
P34580	DDX47_CAEEL	T26G10.1	Putative ATP-dependent RNA helicase T26G10.1	1.54236e+06
P34605	TPPC3_CAEEL	trpp-3	Trafficking protein particle complex subunit 3 homolog	1.58692e+06
P34610	PCP1_CAEEL	pcp-1	Putative serine protease pcp-1	2.08496e+06
P34618	CEC1_CAEEL	cec-1	Chromo domain-containing protein cec-1	1.50701e+06
P34621	YO85_CAEEL	ZK1236.5	Uncharacterized protein ZK1236.5	847004
P34623	DDRGK_CAEEL	ufbp-1	DDRGK domain-containing protein 1	2.98743e+06
P34631	UBXN4_CAEEL	ubxn-4	UBX domain-containing protein 4	1.18794e+06
P34640	DDX55_CAEEL	ZK512.2	Probable ATP-dependent RNA helicase DDX55 homolog	1.47953e+06
P34642	SRP09_CAEEL	ZK512.4	Signal recognition particle 9 kDa protein	2.89655e+06
P34645	YOQ7_CAEEL	ZK512.7	Uncharacterized protein ZK512.7	7.10116e+06
P34647	MCM6_CAEEL	mcm-6	DNA replication licensing factor mcm-6	1.61862e+06
P34650	MPI_CAEEL	ZK632.4	Probable mannose-6-phosphate isomerase	8.02254e+06
P34652	CALX_CAEEL	cnx-1	Calnexin	4.47796e+06
P34661	UFM1_CAEEL	ufm-1	Ubiquitin-fold modifier 1	2.45679e+07
P34662	RL35_CAEEL	rpl-35	60S ribosomal protein L35	1.09371e+08
P34666	COQ5_CAEEL	coq-5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	1.21708e+06
P34669	OST3_CAEEL	ZK686.3	Probable dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3	5.14496e+06
P34673	FAHD1_CAEEL	fahd-1	Fumarylacetoacetate hydrolase domain-containing protein 1	4.6553e+06
P34676	PCP5_CAEEL	pcp-5	Prolyl carboxy peptidase like protein 5	642834
P34685	CAPZA_CAEEL	cap-1	F-actin-capping protein subunit alpha	9.22472e+06
P34686	CAPZB_CAEEL	cap-2	F-actin-capping protein subunit beta	6.1139e+06
P34689	GLH1_CAEEL	glh-1	ATP-dependent RNA helicase glh-1	1.2105e+07
P34690	TBA2_CAEEL	tba-2	Tubulin alpha-2 chain	4.51309e+08
P34696	HSP11_CAEEL	hsp-16.1	Heat shock protein Hsp-16.1/Hsp-16.11	1.03419e+06
P34697	SODC_CAEEL	sod-1	Superoxide dismutase [Cu-Zn]	3.41033e+07
P34714	SPRC_CAEEL	ost-1	SPARC	1.05829e+07
P34730	BMH2_YEAST	BMH2	Protein BMH2	2.20809e+08
P34748	RT23_CAEEL	mrps-23	Probable 28S ribosomal protein S23, mitochondrial	4.44244e+06
P34760	TSA1_YEAST	TSA1	Peroxiredoxin TSA1	4.29063e+08
P34815	UNC18_CAEEL	unc-18	Putative acetylcholine regulator unc-18	3.68067e+06
P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	7.64828e+06
