Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML
P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	1.39421e+06
P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	3.39416e+06
P16333	NCK1_HUMAN	NCK1	Cytoplasmic protein NCK1	3.60036e+06
P16356	RPB1_CAEEL	ama-1	DNA-directed RNA polymerase II subunit RPB1	1.46563e+06
P16370	RPB3_YEAST	RPB3	DNA-directed RNA polymerase II subunit RPB3	1.18663e+06
P16383	GCFC2_HUMAN	GCFC2	GC-rich sequence DNA-binding factor 2	3.22178e+06
P16387	ODPA_YEAST	PDA1	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	1.94597e+07
P16401	H15_HUMAN	H1-5	Histone H1.5	1.41975e+09
P16403	H12_HUMAN	H1-2	Histone H1.2	5.92453e+08
P16422	EPCAM_HUMAN	EPCAM	Epithelial cell adhesion molecule	5.852e+06
P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	9.93774e+06
P16451	ODPX_YEAST	PDX1	Pyruvate dehydrogenase complex protein X component, mitochondrial	3.2059e+06
P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase	8.49992e+06
P16467	PDC5_YEAST	PDC5	Pyruvate decarboxylase isozyme 2	1.23853e+07
P16474	BIP_YEAST	KAR2	Endoplasmic reticulum chaperone BiP	2.38761e+08
P16521	EF3A_YEAST	YEF3	Elongation factor 3A	5.53714e+07
P16547	OM45_YEAST	OM45	Mitochondrial outer membrane protein OM45	1.71871e+07
P16550	APA1_YEAST	APA1	Protein APA1	6.60788e+06
P16603	NCPR_YEAST	NCP1	NADPH--cytochrome P450 reductase	9.06772e+06
P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	2.87047e+07
P16622	HEMH_YEAST	HEM15	Ferrochelatase, mitochondrial	2.51405e+06
P16649	TUP1_YEAST	TUP1	General transcriptional corepressor TUP1	5.70976e+06
P16861	PFKA1_YEAST	PFK1	ATP-dependent 6-phosphofructokinase subunit alpha	1.6767e+07
P16862	PFKA2_YEAST	PFK2	ATP-dependent 6-phosphofructokinase subunit beta	2.92698e+07
P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	2.63272e+06
P16949	STMN1_HUMAN	STMN1	Stathmin	1.48974e+08
P16965	STF2_YEAST	STF2	ATPase-stabilizing factor 15 kDa protein	3.52692e+06
P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	1.8531e+07
P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase	2.69375e+06
P17076	RL8A_YEAST	RPL8A	60S ribosomal protein L8-A	1.9886e+06
P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	1.31212e+08
P17106	CBF1_YEAST	CBF1	Centromere-binding protein 1	605125
P17139	CO4A1_CAEEL	emb-9	Collagen alpha-1(IV) chain	4.92532e+06
P17140	CO4A2_CAEEL	let-2	Collagen alpha-2(IV) chain	2.64249e+07
P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	3.70372e+06
P17157	PHO85_YEAST	PHO85	Cyclin-dependent protein kinase PHO85	1.64477e+06
P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	5.40658e+07
P17252	KPCA_HUMAN	PRKCA	Protein kinase C alpha type	1.53977e+06
P17255	VATA_YEAST	VMA1	V-type proton ATPase catalytic subunit A	3.17258e+07
P17275	JUNB_HUMAN	JUNB	Transcription factor jun-B	7.36954e+06
P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2	1.35233e+07
P17329	G3P2_CAEEL	gpd-2	Glyceraldehyde-3-phosphate dehydrogenase 2	2.04916e+08
P17330	G3P3_CAEEL	gpd-3	Glyceraldehyde-3-phosphate dehydrogenase 3	6.69698e+06
P17331	G3P4_CAEEL	gpd-4	Glyceraldehyde-3-phosphate dehydrogenase 4	5.27815e+06
P17343	GBB1_CAEEL	gpb-1	Guanine nucleotide-binding protein subunit beta-1	4.73638e+07
P17423	KHSE_YEAST	THR1	Homoserine kinase	4.10516e+06
P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	1.01485e+07
P17505	MDHM_YEAST	MDH1	Malate dehydrogenase, mitochondrial	2.5125e+07
P17511	MT1_CAEEL	mtl-1	Metallothionein-1	6.83084e+06
P17512	MT2_CAEEL	mtl-2	Metallothionein-2	2.94064e+06
P17535	JUND_HUMAN	JUND	Transcription factor jun-D	1.11788e+06
P17536	TPM1_YEAST	TPM1	Tropomyosin-1	3.91311e+07
P17544	ATF7_HUMAN	ATF7	Cyclic AMP-dependent transcription factor ATF-7	605365
P17555	CAP_YEAST	SRV2	Adenylyl cyclase-associated protein	1.00813e+07
P17568	NDUB7_HUMAN	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	7.61e+06
P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	1.66609e+07
P17649	GABAT_YEAST	UGA1	4-aminobutyrate aminotransferase	1.59746e+07
P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	9.74367e+06
P17656;P34687;Q21184	CO155_CAEEL;COL2_CAEEL;COL34_CAEEL	col-155;col-2;col-34	Cuticle collagen 2	2.87247e+06
P17657	DPY13_CAEEL	dpy-13	Cuticle collagen dpy-13	615508
P17676	CEBPB_HUMAN	CEBPB	CCAAT/enhancer-binding protein beta	6.40906e+06
P17695	GLRX2_YEAST	GRX2	Glutaredoxin-2	3.10685e+07
P17709	HXKG_YEAST	GLK1	Glucokinase-1	4.07843e+07
P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	2.24883e+07
P17813	EGLN_HUMAN	ENG	Endoglin	1.50973e+06
P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	1.21572e+08
P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	1.58045e+07
P17891	CLC1_YEAST	CLC1	Clathrin light chain	1.00711e+07
P17898	CPT1_YEAST	CPT1	Cholinephosphotransferase 1	1.54742e+06
P17931	LEG3_HUMAN	LGALS3	Galectin-3	7.91316e+07
P17967	PDI_YEAST	PDI1	Protein disulfide-isomerase	4.29803e+07
P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	1.44075e+07
P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	6.2211e+07
P18031	PTN1_HUMAN	PTPN1	Tyrosine-protein phosphatase non-receptor type 1	5.34422e+06
P18074	ERCC2_HUMAN	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD	2.21175e+06
P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a	1.42094e+08
P18084	ITB5_HUMAN	ITGB5	Integrin beta-5	1.50651e+06
P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	4.16065e+07
P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	1.32367e+08
P18206	VINC_HUMAN	VCL	Vinculin	2.53672e+07
P18239	ADT2_YEAST	PET9	ADP,ATP carrier protein 2	1.67052e+08
P18334	CSK2A_CAEEL	kin-3	Casein kinase II subunit alpha	1.17602e+07
P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha	360130
P18544	ARGD_YEAST	ARG8	Acetylornithine aminotransferase, mitochondrial	3.35124e+06
P18562	UPP_YEAST	FUR1	Uracil phosphoribosyltransferase	5.7326e+06
P18564	ITB6_HUMAN	ITGB6	Integrin beta-6	3.09675e+07
P18583	SON_HUMAN	SON	Protein SON	1.17272e+07
P18615	NELFE_HUMAN	NELFE	Negative elongation factor E	4.02152e+06
P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	1.3881e+08
P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	2.13441e+08
P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	6.30791e+07
P18759	SEC18_YEAST	SEC18	Vesicular-fusion protein SEC18	1.12026e+06
P18846	ATF1_HUMAN	ATF1	Cyclic AMP-dependent transcription factor ATF-1	1.78168e+07
P18851	GBB_YEAST	STE4	Guanine nucleotide-binding protein subunit beta	1.54509e+06
P18852	GBG_YEAST	STE18	Guanine nucleotide-binding protein subunit gamma	575560
P18858	DNLI1_HUMAN	LIG1	DNA ligase 1	6.68263e+06
P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	5.20946e+06
P18888	SNF6_YEAST	SNF6	Transcription regulatory protein SNF6	2.29718e+06
P18899	DDR48_YEAST	DDR48	Stress protein DDR48	3.29542e+07
P18947	VIT4_CAEEL	vit-4	Vitellogenin-4	5.24065e+07
P18948	VIT6_CAEEL	vit-6	Vitellogenin-6	1.63068e+08
P18961	YPK2_YEAST	YPK2	Serine/threonine-protein kinase YPK2/YKR2	1.39829e+06
P19073	CDC42_YEAST	CDC42	Cell division control protein 42	5.48982e+06
P19075	TSN8_HUMAN	TSPAN8	Tetraspanin-8	2.42923e+07
P19097	FAS2_YEAST	FAS2	Fatty acid synthase subunit alpha	2.59915e+07
P19146	ARF2_YEAST	ARF2	ADP-ribosylation factor 2	1.04537e+07
P19174	PLCG1_HUMAN	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	2.78296e+06
P19262	ODO2_YEAST	KGD2	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1.0715e+07
P19338	NUCL_HUMAN	NCL	Nucleolin	2.55087e+08
P19358	METK2_YEAST	SAM2	S-adenosylmethionine synthase 2	1.49874e+08
P19367	HXK1_HUMAN	HK1	Hexokinase-1	2.3518e+06
P19387	RPB3_HUMAN	POLR2C	DNA-directed RNA polymerase II subunit RPB3	6.67299e+06
P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	7.333e+06
P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	9.78222e+06
P19414	ACON_YEAST	ACO1	Aconitate hydratase, mitochondrial	1.44305e+07
P19447	ERCC3_HUMAN	ERCC3	General transcription and DNA repair factor IIH helicase subunit XPB	767134
P19454	CSK22_YEAST	CKA2	Casein kinase II subunit alpha'	361774
P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	9.19912e+06
P19623	SPEE_HUMAN	SRM	Spermidine synthase	2.12079e+07
P19625	MLR1_CAEEL	mlc-1	Myosin regulatory light chain 1	3.51199e+08
P19626	MLR2_CAEEL	mlc-2	Myosin regulatory light chain 2	5.46505e+07
P19657	PMA2_YEAST	PMA2	Plasma membrane ATPase 2	6.32459e+06
P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	9.7158e+06
P19826	VINC_CAEEL	deb-1	Vinculin	1.59529e+07
P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit	3.08839e+06
P19881	PNPP_YEAST	PHO13	4-nitrophenylphosphatase	1.83782e+06
P19882	HSP60_YEAST	HSP60	Heat shock protein 60, mitochondrial	2.94983e+07
P19955	RT31_YEAST	YMR31	37S ribosomal protein YMR-31, mitochondrial	3.75633e+06
P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	973971
P19974	CYC21_CAEEL	cyc-2.1	Cytochrome c 2.1	1.25072e+08
P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1	1.46848e+07
P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	3.66272e+07
P20051	PYRC_YEAST	URA4	Dihydroorotase	3.27264e+06
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	1.69294e+07
P20081	FKBP_YEAST	FPR1	FK506-binding protein 1	5.16758e+07
P20107	ZRC1_YEAST	ZRC1	Zinc/cadmium resistance protein	2.79758e+06
P20163	BIBH_CAEEL	hsp-4	Endoplasmic reticulum chaperone BiP homolog	2.91799e+07
P20226	TBP_HUMAN	TBP	TATA-box-binding protein	927454
P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	7.79482e+07
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	1.7458e+07
P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	1.41964e+07
P20424	SRP54_YEAST	SRP54	Signal recognition particle subunit SRP54	1.65381e+06
P20433	RPB4_YEAST	RPB4	DNA-directed RNA polymerase II subunit RPB4	2.22351e+06
P20434	RPAB1_YEAST	RPB5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1.26416e+06
P20435	RPAB2_YEAST	RPO26	DNA-directed RNA polymerases I, II, and III subunit RPABC2	3.43257e+06
P20436	RPAB3_YEAST	RPB8	DNA-directed RNA polymerases I, II, and III subunit RPABC3	2.73071e+06
P20447	DBP3_YEAST	DBP3	ATP-dependent RNA helicase DBP3	1.5683e+06
P20449	DBP5_YEAST	DBP5	ATP-dependent RNA helicase DBP5	2.58941e+06
P20459	IF2A_YEAST	SUI2	Eukaryotic translation initiation factor 2 subunit alpha	5.7331e+06
P20485	KICH_YEAST	CKI1	Choline kinase	1.21912e+06
P20585	MSH3_HUMAN	MSH3	DNA mismatch repair protein Msh3	3.91532e+06
P20604	PP11_YEAST	SIT4	Serine/threonine-protein phosphatase PP1-1	3.05316e+06
P20606	SAR1_YEAST	SAR1	Small COPII coat GTPase SAR1	3.6589e+07
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	3.0464e+07
P20645	MPRD_HUMAN	M6PR	Cation-dependent mannose-6-phosphate receptor	9.67892e+06
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	6.06188e+07
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	6.94284e+07
P20742	PZP_HUMAN	PZP	Pregnancy zone protein	1.19223e+06
P20810	ICAL_HUMAN	CAST	Calpastatin	1.24746e+07
P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	4.69416e+06
P20962	PTMS_HUMAN	PTMS	Parathymosin	1.05867e+08
P20967	ODO1_YEAST	KGD1	2-oxoglutarate dehydrogenase, mitochondrial	7.38525e+06
P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	6.5957e+06
P21137	KAPC1_CAEEL	kin-1	cAMP-dependent protein kinase catalytic subunit	6.15407e+06
P21242	PSA7_YEAST	PRE10	Probable proteasome subunit alpha type-7	9.17564e+06
P21243	PSA1_YEAST	SCL1	Proteasome subunit alpha type-1	8.75231e+06
P21264	PUR6_YEAST	ADE2	Phosphoribosylaminoimidazole carboxylase	2.57337e+06
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	1.09567e+07
P21269	CCA1_YEAST	CCA1	CCA tRNA nucleotidyltransferase, mitochondrial	666939
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	6.39504e+06
P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	1.02103e+07
P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	3.35e+07
P21304	PWP1_YEAST	PWP1	Periodic tryptophan protein 1	1.74851e+06
P21306	ATP5E_YEAST	ATP15	ATP synthase subunit epsilon, mitochondrial	1.54722e+07
P21333	FLNA_HUMAN	FLNA	Filamin-A	7.36126e+07
P21375	OSM1_YEAST	OSM1	Fumarate reductase 2	756147
P21399	ACOC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	2.01751e+07
P21576	VPS1_YEAST	VPS1	Vacuolar protein sorting-associated protein 1	9.50829e+06
P21734	UBC1_YEAST	UBC1	Ubiquitin-conjugating enzyme E2 1	6.89324e+06
P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1.02236e+08
P21801	SDHB_YEAST	SDH2	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	5.64581e+06
P21825	SEC62_YEAST	SEC62	Translocation protein SEC62	837278
P21826;P30952	MLS1_YEAST;MLS2_YEAST	DAL7;MLS1	Malate synthase 2	391165
P21827	RCC1_YEAST	SRM1	Guanine nucleotide exchange factor SRM1	1.0878e+06
P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	2.10676e+07
P21926	CD9_HUMAN	CD9	CD9 antigen	2.2548e+07
P21953	ODBB_HUMAN	BCKDHB	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	341396
P21954	IDHP_YEAST	IDP1	Isocitrate dehydrogenase [NADP], mitochondrial	1.4517e+07
P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	3.49432e+07
P21965	MCK1_YEAST	MCK1	Protein kinase MCK1	5.80322e+06
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	4.35458e+06
P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	1.92276e+06
P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	5.44264e+06
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	2.0946e+07
P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	7.3461e+07
P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	4.30271e+07
P22133	MDHC_YEAST	MDH2	Malate dehydrogenase, cytoplasmic	6.07654e+06
P22134	MAG_YEAST	MAG1	DNA-3-methyladenine glycosylase	2.63819e+06
P22137	CLH_YEAST	CHC1	Clathrin heavy chain	6.62207e+06
P22139	RPAB5_YEAST	RPB10	DNA-directed RNA polymerases I, II, and III subunit RPABC5	1.99672e+06
P22141	PSB4_YEAST	PRE1	Proteasome subunit beta type-4	7.01938e+06
P22146	GAS1_YEAST	GAS1	1,3-beta-glucanosyltransferase GAS1	6.59677e+06
P22147	XRN1_YEAST	XRN1	5'-3' exoribonuclease 1	1.03305e+06
P22202	HSP74_YEAST	SSA4	Heat shock protein SSA4	3.57402e+08
P22203	VATE_YEAST	VMA4	V-type proton ATPase subunit E	2.1792e+07
P22213	SLY1_YEAST	SLY1	Protein SLY1	330352
P22217	TRX1_YEAST	TRX1	Thioredoxin-1	1.41927e+08
P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2	6.25856e+07
P22289	QCR9_YEAST	QCR9	Cytochrome b-c1 complex subunit 9, mitochondrial	1.43437e+06
P22307	NLTP_HUMAN	SCP2	Non-specific lipid-transfer protein	1.31365e+07
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	1.19762e+08
P22336	RFA1_YEAST	RFA1	Replication factor A protein 1	1.26893e+06
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	1.82098e+06
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	1.30109e+08
P22492	H1T_HUMAN	H1-6	Histone H1t	730354
P22515	UBA1_YEAST	UBA1	Ubiquitin-activating enzyme E1 1	1.1184e+07
P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	2.7615e+06
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	5.25235e+08
P22670	RFX1_HUMAN	RFX1	MHC class II regulatory factor RFX1	1.2685e+06
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	586382
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	3.03339e+07
P22696	ESS1_YEAST	ESS1	Peptidyl-prolyl cis-trans isomerase ESS1	415890
P22768	ASSY_YEAST	ARG1	Argininosuccinate synthase	4.20878e+07
P22803	TRX2_YEAST	TRX2	Thioredoxin-2	5.53547e+07
P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	8.07392e+06
P22855	MAN1_YEAST	AMS1	Alpha-mannosidase	4.01067e+06
P22943	HSP12_YEAST	HSP12	12 kDa heat shock protein	4.18628e+08
P22981	LET60_CAEEL	let-60	Ras protein let-60	4.21286e+06
P23180	AIM17_YEAST	AIM17	Probable oxidoreductase AIM17	3.8881e+06
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	1.58867e+07
P23202	URE2_YEAST	URE2	Transcriptional regulator URE2	1.71997e+06
P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	2.53834e+06
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	2.39962e+08
P23248	RS3A2_YEAST	RPS1B	40S ribosomal protein S1-B	5.02475e+07
P23254	TKT1_YEAST	TKL1	Transketolase 1	3.55278e+07
P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	8.58511e+06
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	2.03562e+08
P23291	KC11_YEAST	YCK1	Casein kinase I homolog 1	1.5075e+06
P23292	KC12_YEAST	YCK2	Casein kinase I homolog 2	1.52354e+06
P23301	IF5A1_YEAST	HYP2	Eukaryotic translation initiation factor 5A-1	1.24311e+08
P23337	GYS1_YEAST	GSY1	Glycogen [starch] synthase isoform 1	1.467e+06
P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	3.88085e+06
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	1.7718e+07
P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3	1.25078e+08
P23434	GCSH_HUMAN	GCSH	Glycine cleavage system H protein, mitochondrial	3.18985e+07
P23443	KS6B1_HUMAN	RPS6KB1	Ribosomal protein S6 kinase beta-1	3.11528e+06
P23497	SP100_HUMAN	SP100	Nuclear autoantigen Sp-100	1.89477e+06
P23511	NFYA_HUMAN	NFYA	Nuclear transcription factor Y subunit alpha	902405
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	2.02591e+08
P23528	COF1_HUMAN	CFL1	Cofilin-1	3.49095e+08
P23542	AATC_YEAST	AAT2	Aspartate aminotransferase, cytoplasmic	1.03313e+07
P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	5.5802e+07
P23595	PP2A2_YEAST	PPH22	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	1.81179e+06
P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	3.55612e+06
P23638	PSA3_YEAST	PRE9	Proteasome subunit alpha type-3	5.82288e+06
P23639	PSA2_YEAST	PRE8	Proteasome subunit alpha type-2	3.84837e+06
P23641	MPCP_YEAST	MIR1	Mitochondrial phosphate carrier protein	1.98069e+07
P23644	TOM40_YEAST	TOM40	Mitochondrial import receptor subunit TOM40	6.13643e+06
P23724	PSB6_YEAST	PRE7	Proteasome subunit beta type-6	5.16776e+06
P23776	EXG1_YEAST	EXG1	Glucan 1,3-beta-glucosidase I/II	1.11324e+07
P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial	4.71583e+06
P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	1.79811e+07
P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	8.69204e+06
P24000	RL24B_YEAST	RPL24B	60S ribosomal protein L24-B	3.79608e+07
P24276	SSD1_YEAST	SSD1	Protein SSD1	1.90797e+06
P24280	SEC14_YEAST	SEC14	SEC14 cytosolic factor	7.58095e+06
P24311	COX7B_HUMAN	COX7B	Cytochrome c oxidase subunit 7B, mitochondrial	1.49455e+07
P24390;P33947	ERD21_HUMAN;ERD22_HUMAN	KDELR1;KDELR2	ER lumen protein-retaining receptor 1	2.00885e+06
P24468	COT2_HUMAN	NR2F2	COUP transcription factor 2	1.36848e+06
P24521	ERG8_YEAST	ERG8	Phosphomevalonate kinase	1.06163e+06
P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	7.90403e+07
P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	5.50356e+07
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	7.34209e+07
P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	4.00694e+07
P24783	DBP2_YEAST	DBP2	ATP-dependent RNA helicase DBP2	2.06436e+06
P24887	NU1M_CAEEL	nduo-1	NADH-ubiquinone oxidoreductase chain 1	2.07507e+06
P24890	CYB_CAEEL	ctb-1	Cytochrome b	3.61355e+06
P24894	COX2_CAEEL	ctc-2	Cytochrome c oxidase subunit 2	2.28651e+07
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	5.70123e+06
P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	9.58526e+06
P25036	YSP3_YEAST	YSP3	Subtilisin-like protease 3	1.98516e+06
P25039	EFGM_YEAST	MEF1	Elongation factor G, mitochondrial	1.15044e+06
P25043	PSB2_YEAST	PUP1	Proteasome subunit beta type-2	5.2762e+06
P25087	ERG6_YEAST	ERG6	Sterol 24-C-methyltransferase	1.29223e+07
P25098	ARBK1_HUMAN	GRK2	Beta-adrenergic receptor kinase 1	968811
P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	3.76469e+07
P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	3.42884e+06
P25293	NAP1_YEAST	NAP1	Nucleosome assembly protein	7.6884e+06
P25294	SIS1_YEAST	SIS1	Protein SIS1	1.03797e+07
P25296	CANB_YEAST	CNB1	Calcineurin subunit B	1.85988e+06
P25303	SCJ1_YEAST	SCJ1	DnaJ-related protein SCJ1	637939
P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	5.06642e+06
P25340	ERG4_YEAST	ERG4	Delta(24(24(1)))-sterol reductase	1.2044e+06
P25342	CDC10_YEAST	CDC10	Cell division control protein 10	2.43759e+06
P25343	RV161_YEAST	RVS161	Reduced viability upon starvation protein 161	6.0773e+06
P25349	YCP4_YEAST	YCP4	Flavoprotein-like protein YCP4	2.33467e+07
P25358	ELO2_YEAST	ELO2	Elongation of fatty acids protein 2	1.58533e+06
P25367	RNQ1_YEAST	RNQ1	[PIN+] prion protein RNQ1	3.22083e+06
P25369	LSB5_YEAST	LSB5	LAS seventeen-binding protein 5	1.08779e+06
P25372	TRX3_YEAST	TRX3	Thioredoxin-3, mitochondrial	1.18863e+07
P25373	GLRX1_YEAST	GRX1	Glutaredoxin-1	2.96621e+07
P25374	NFS1_YEAST	NFS1	Cysteine desulfurase, mitochondrial	4.83173e+06
P25375	PRTD_YEAST	PRD1	Saccharolysin	2.24533e+06
P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	1.26584e+08
P25440	BRD2_HUMAN	BRD2	Bromodomain-containing protein 2	1.89697e+06
P25443	RS2_YEAST	RPS2	40S ribosomal protein S2	4.65104e+07
P25451	PSB3_YEAST	PUP3	Proteasome subunit beta type-3	5.42013e+06
P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	8.37553e+06
P25491	MAS5_YEAST	YDJ1	Mitochondrial protein import protein MAS5	3.60779e+06
P25555	GBP2_YEAST	GBP2	Single-strand telomeric DNA-binding protein GBP2	877725
P25566	MXR2_YEAST	MXR2	Peptide methionine sulfoxide reductase 2	2.77658e+06
P25567	SRO9_YEAST	SRO9	RNA-binding protein SRO9	1.7298e+06
P25574	EMC1_YEAST	EMC1	ER membrane protein complex subunit 1	737494
